Hash,Refatoração,Descrição
3d15669b3bbc1ec2388c7b10a734a5af80ff9ef8,ADD_CLASS_ANNOTATION, Add Class Annotation Add Class Annotation	@Deprecated in class com.xxl.job.admin.core.enums.ExecutorFailStrategyEnum
5dfc6a1092ae8131db160d23323dca33f7501ad8,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	public getShardIndex() : int extracted from public shardingJobHandler(param String) : ReturnT<String> in class com.xxl.job.executor.service.jobhandler.SampleXxlJob & moved to class com.xxl.job.core.context.XxlJobHelper
5dfc6a1092ae8131db160d23323dca33f7501ad8,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	public getShardTotal() : int extracted from public shardingJobHandler(param String) : ReturnT<String> in class com.xxl.job.executor.service.jobhandler.SampleXxlJob & moved to class com.xxl.job.core.context.XxlJobHelper
5dfc6a1092ae8131db160d23323dca33f7501ad8,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	public handleFail(handleMsg String) : boolean extracted from public execute(param String) : ReturnT<String> in class com.xxl.job.core.handler.impl.ScriptJobHandler & moved to class com.xxl.job.core.context.XxlJobHelper
5dfc6a1092ae8131db160d23323dca33f7501ad8,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	public handleFail(handleMsg String) : boolean extracted from public commandJobHandler(param String) : ReturnT<String> in class com.xxl.job.executor.service.jobhandler.SampleXxlJob & moved to class com.xxl.job.core.context.XxlJobHelper
5dfc6a1092ae8131db160d23323dca33f7501ad8,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	ReturnT<String> to void in method public abstract execute() : void from class com.xxl.job.core.handler.IJobHandler
5dfc6a1092ae8131db160d23323dca33f7501ad8,REMOVE_PARAMETER, Remove Parameter Remove Parameter	param : String in method public abstract execute(param String) : ReturnT<String> from class com.xxl.job.core.handler.IJobHandler
c1363c7567a688ca8193de6effe9e4ac491a0a31,RENAME_VARIABLE, Rename Variable Rename Variable	trigger_log_url : String to trigger_log_address : String in method public run() : void from class com.xxl.job.client.handler.HandlerThread
c1363c7567a688ca8193de6effe9e4ac491a0a31,RENAME_ATTRIBUTE, Rename Attribute Rename Attribute	TRIGGER_LOG_URL : String to TRIGGER_LOG_ADDRESS : String in class com.xxl.job.client.handler.HandlerRepository
c1363c7567a688ca8193de6effe9e4ac491a0a31,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	public addressToUrl(address String) : String extracted from protected executeInternal(context JobExecutionContext) : void in class com.xxl.job.service.job.RemoteHttpJobBean & moved to class com.xxl.job.client.util.HttpUtil
8ea3c390986ca4fb335c9c4d52ad916a1883908b,REMOVE_CLASS_ANNOTATION, Remove Class Annotation Remove Class Annotation	@RunWith(SpringRunner.class) in class com.xxl.job.admin.controller.AbstractSpringMvcTest
8ea3c390986ca4fb335c9c4d52ad916a1883908b,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@BeforeEach in method public setup() : void from class com.xxl.job.admin.controller.AbstractSpringMvcTest
8ea3c390986ca4fb335c9c4d52ad916a1883908b,REMOVE_METHOD_ANNOTATION, Remove Method Annotation Remove Method Annotation	@Before in method public setup() : void from class com.xxl.job.admin.controller.AbstractSpringMvcTest
8ea3c390986ca4fb335c9c4d52ad916a1883908b,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@BeforeEach in method public login() : void from class com.xxl.job.admin.controller.JobInfoControllerTest
8ea3c390986ca4fb335c9c4d52ad916a1883908b,REMOVE_METHOD_ANNOTATION, Remove Method Annotation Remove Method Annotation	@Before in method public login() : void from class com.xxl.job.admin.controller.JobInfoControllerTest
8ea3c390986ca4fb335c9c4d52ad916a1883908b,REMOVE_CLASS_ANNOTATION, Remove Class Annotation Remove Class Annotation	@RunWith(SpringRunner.class) in class com.xxl.job.admin.dao.XxlJobGroupDaoTest
8ea3c390986ca4fb335c9c4d52ad916a1883908b,REMOVE_CLASS_ANNOTATION, Remove Class Annotation Remove Class Annotation	@RunWith(SpringRunner.class) in class com.xxl.job.admin.dao.XxlJobInfoDaoTest
8ea3c390986ca4fb335c9c4d52ad916a1883908b,REMOVE_CLASS_ANNOTATION, Remove Class Annotation Remove Class Annotation	@RunWith(SpringRunner.class) in class com.xxl.job.admin.dao.XxlJobLogDaoTest
8ea3c390986ca4fb335c9c4d52ad916a1883908b,REMOVE_CLASS_ANNOTATION, Remove Class Annotation Remove Class Annotation	@RunWith(SpringRunner.class) in class com.xxl.job.admin.dao.XxlJobLogGlueDaoTest
8ea3c390986ca4fb335c9c4d52ad916a1883908b,REMOVE_CLASS_ANNOTATION, Remove Class Annotation Remove Class Annotation	@RunWith(SpringRunner.class) in class com.xxl.job.admin.dao.XxlJobRegistryDaoTest
