Hash,Refatoração,Descrição
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	package to private in method private RealMapBinder(binder Binder  keyType TypeLiteral<K>  valueType TypeLiteral<V>  mapKey Key<Map<K V>>  entrySetBinder Multibinder<Map.Entry<K Provider<V>>>) from class com.google.inject.multibindings.MapBinder.RealMapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	void to MapBinder<K V> in method public permitDuplicates() : MapBinder<K V> from class com.google.inject.multibindings.MapBinder.RealMapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@Override in method public permitDuplicates() : MapBinder<K V> from class com.google.inject.multibindings.MapBinder.RealMapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@Override in method public addBinding(key K) : LinkedBindingBuilder<V> from class com.google.inject.multibindings.MapBinder.RealMapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_CLASS_ACCESS_MODIFIER, Change Class Access Modifier Change Class Access Modifier	public to package in class com.google.inject.multibindings.Multibinder.RealMultibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_CLASS_MODIFIER, Add Class Modifier Add Class Modifier	static in class com.google.inject.multibindings.Multibinder.RealMultibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	package to private in method private RealMultibinder(binder Binder  elementType TypeLiteral<T>  setKey Key<Set<T>>) from class com.google.inject.multibindings.Multibinder.RealMultibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	void to Multibinder<T> in method public permitDuplicates() : Multibinder<T> from class com.google.inject.multibindings.Multibinder.RealMultibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@Override in method public permitDuplicates() : Multibinder<T> from class com.google.inject.multibindings.Multibinder.RealMultibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@Override in method public addBinding() : LinkedBindingBuilder<T> from class com.google.inject.multibindings.Multibinder.RealMultibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package permitsDuplicates(injector Injector) : boolean from class com.google.inject.multibindings.Multibinder.RealMultibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package getSetName() : String from class com.google.inject.multibindings.Multibinder.RealMultibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_CLASS_ACCESS_MODIFIER, Change Class Access Modifier Change Class Access Modifier	public to package in class com.google.inject.multibindings.OptionalBinder.RealOptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_CLASS_MODIFIER, Add Class Modifier Add Class Modifier	static in class com.google.inject.multibindings.OptionalBinder.RealOptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@Override in method public setDefault() : LinkedBindingBuilder<T> from class com.google.inject.multibindings.OptionalBinder.RealOptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@Override in method public setBinding() : LinkedBindingBuilder<T> from class com.google.inject.multibindings.OptionalBinder.RealOptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_CLASS_ANNOTATION, Add Class Annotation Add Class Annotation	@OptionalBinder.Actual("foo") in class com.google.inject.multibindings.OptionalBinderTest.Dummy
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_CLASS_ANNOTATION, Add Class Annotation Add Class Annotation	@OptionalBinder.Default("foo") in class com.google.inject.multibindings.OptionalBinderTest.Dummy
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,REMOVE_CLASS_ANNOTATION, Remove Class Annotation Remove Class Annotation	@RealOptionalBinder.Actual("foo") in class com.google.inject.internal.OptionalBinderTest.Dummy
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,REMOVE_CLASS_ANNOTATION, Remove Class Annotation Remove Class Annotation	@RealOptionalBinder.Default("foo") in class com.google.inject.internal.OptionalBinderTest.Dummy
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_CLASS_ACCESS_MODIFIER, Change Class Access Modifier Change Class Access Modifier	public to private in class com.google.inject.multibindings.MultibindingsScanner.Scanner
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,REMOVE_CLASS_MODIFIER, Remove Class Modifier Remove Class Modifier	final in class com.google.inject.internal.MultibindingsMethodScanner
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_CLASS_MODIFIER, Add Class Modifier Add Class Modifier	static in class com.google.inject.multibindings.MultibindingsScanner.Scanner
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	INSTANCE : MultibindingsMethodScanner to INSTANCE : Scanner in class com.google.inject.multibindings.MultibindingsScanner.Scanner
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_ATTRIBUTE_ACCESS_MODIFIER, Change Attribute Access Modifier Change Attribute Access Modifier	public to private in attribute private INSTANCE : Scanner from class com.google.inject.multibindings.MultibindingsScanner.Scanner
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package mapOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K V>> from class com.google.inject.internal.RealMapBinder to package mapOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K V>> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package mapOfProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K Provider<V>>> from class com.google.inject.internal.RealMapBinder to package mapOfProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K Provider<V>>> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package mapOfJavaxProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K javax.inject.Provider<V>>> from class com.google.inject.internal.RealMapBinder to package mapOfJavaxProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K javax.inject.Provider<V>>> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package mapOfSetOfProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K Set<Provider<V>>>> from class com.google.inject.internal.RealMapBinder to package mapOfSetOfProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K Set<Provider<V>>>> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package mapOfSetOfJavaxProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K Set<javax.inject.Provider<V>>>> from class com.google.inject.internal.RealMapBinder to package mapOfSetOfJavaxProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K Set<javax.inject.Provider<V>>>> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package mapOfCollectionOfProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K Collection<Provider<V>>>> from class com.google.inject.internal.RealMapBinder to package mapOfCollectionOfProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K Collection<Provider<V>>>> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package mapOfCollectionOfJavaxProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K Collection<javax.inject.Provider<V>>>> from class com.google.inject.internal.RealMapBinder to package mapOfCollectionOfJavaxProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map<K Collection<javax.inject.Provider<V>>>> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package entryOfProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map.Entry<K Provider<V>>> from class com.google.inject.internal.RealMapBinder to package entryOfProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map.Entry<K Provider<V>>> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package entryOfJavaxProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map.Entry<K Provider<V>>> from class com.google.inject.internal.RealMapBinder to package entryOfJavaxProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Map.Entry<K Provider<V>>> from class com.google.inject.multibindings.MapBinder
