Hash,Refatoração,Descrição
d66bdc88113ed9e25b09b6a3b547338e794b0f0a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method glue(String  String  String[]) at xxl-job-core/src/main/java/com/xxl/job/core/glue/GlueFactory.java:170}	{Method glue(int  String[]) at xxl-job-core/src/main/java/com/xxl/job/core/glue/GlueFactory.java:170}) CHANGE_SIGNATURE({com.xxl.job.core.glue.GlueFactory glue(String  String  String[])}  {com.xxl.job.core.glue.GlueFactory glue(int  String[])}),
d54d679edbad85c212c972a57a8b87dff0b8e7ad,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method remove(String  String) at xxl-job-core/src/main/java/com/xxl/job/core/executor/XxlJobExecutor.java:174}	{Method remove(Set  String) at xxl-job-core/src/main/java/com/xxl/job/core/executor/XxlJobExecutor.java:183}) CHANGE_SIGNATURE({com.xxl.job.core.executor.XxlJobExecutor ExecutorServiceRegistry remove(String  String)}  {com.xxl.job.core.executor.XxlJobExecutor ExecutorServiceRegistry remove(Set  String)}),
d54d679edbad85c212c972a57a8b87dff0b8e7ad,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method registry(String  String) at xxl-job-core/src/main/java/com/xxl/job/core/executor/XxlJobExecutor.java:170}	{Method registry(Set  String) at xxl-job-core/src/main/java/com/xxl/job/core/executor/XxlJobExecutor.java:179}) CHANGE_SIGNATURE({com.xxl.job.core.executor.XxlJobExecutor ExecutorServiceRegistry registry(String  String)}  {com.xxl.job.core.executor.XxlJobExecutor ExecutorServiceRegistry registry(Set  String)}),
87ce15368ece1582dae064e3cfe988e80eddb88f,MOVE, MOVE	{Method add(HttpServletRequest) at xxl-job-admin/src/main/java/com/xxl/job/controller/IndexController.java:46}	{Method add(HttpServletRequest) at xxl-job-admin/src/main/java/com/xxl/job/controller/JobController.java:32}) MOVE({com.xxl.job.controller.IndexController add(HttpServletRequest)}  {com.xxl.job.controller.JobController add(HttpServletRequest)}),
87ce15368ece1582dae064e3cfe988e80eddb88f,MOVE, MOVE	{Method remove(String) at xxl-job-admin/src/main/java/com/xxl/job/controller/IndexController.java:132}	{Method remove(String) at xxl-job-admin/src/main/java/com/xxl/job/controller/JobController.java:118}) MOVE({com.xxl.job.controller.IndexController remove(String)}  {com.xxl.job.controller.JobController remove(String)}),
87ce15368ece1582dae064e3cfe988e80eddb88f,MOVE, MOVE	{Method resume(String) at xxl-job-admin/src/main/java/com/xxl/job/controller/IndexController.java:156}	{Method resume(String) at xxl-job-admin/src/main/java/com/xxl/job/controller/JobController.java:142}) MOVE({com.xxl.job.controller.IndexController resume(String)}  {com.xxl.job.controller.JobController resume(String)}),
87ce15368ece1582dae064e3cfe988e80eddb88f,MOVE, MOVE	{Method pause(String) at xxl-job-admin/src/main/java/com/xxl/job/controller/IndexController.java:144}	{Method pause(String) at xxl-job-admin/src/main/java/com/xxl/job/controller/JobController.java:130}) MOVE({com.xxl.job.controller.IndexController pause(String)}  {com.xxl.job.controller.JobController pause(String)}),
87ce15368ece1582dae064e3cfe988e80eddb88f,MOVE, MOVE	{Method triggerJob(String) at xxl-job-admin/src/main/java/com/xxl/job/controller/IndexController.java:168}	{Method triggerJob(String) at xxl-job-admin/src/main/java/com/xxl/job/controller/JobController.java:154}) MOVE({com.xxl.job.controller.IndexController triggerJob(String)}  {com.xxl.job.controller.JobController triggerJob(String)}),
87ce15368ece1582dae064e3cfe988e80eddb88f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method pushHandleQueue(String  String  Map) at xxl-job-client/src/main/java/com/xxl/job/client/handler/HandlerRepository.java:89}	{Method pushHandleQueue(Map) at xxl-job-client/src/main/java/com/xxl/job/client/handler/HandlerRepository.java:107}) CHANGE_SIGNATURE({com.xxl.job.client.handler.HandlerRepository pushHandleQueue(String  String  Map)}  {com.xxl.job.client.handler.HandlerRepository pushHandleQueue(Map)}),
87ce15368ece1582dae064e3cfe988e80eddb88f,MOVE, MOVE	{Method reschedule(String  String) at xxl-job-admin/src/main/java/com/xxl/job/controller/IndexController.java:109}	{Method reschedule(String  String) at xxl-job-admin/src/main/java/com/xxl/job/controller/JobController.java:95}) MOVE({com.xxl.job.controller.IndexController reschedule(String  String)}  {com.xxl.job.controller.JobController reschedule(String  String)}),
f754b1ce6d99b6a611e806905c27c9753e4b1e4a,RENAME, RENAME	{Method beatOutputNotNull() at xxl-job-core/src/test/java/com/xxl/job/core/biz/impl/ExecutorBizImplTest.java:48}	{Method beat() at xxl-job-core/src/test/java/com/xxl/job/core/biz/impl/ExecutorBizImplTest.java:69}) RENAME({com.xxl.job.core.biz.impl.ExecutorBizImplTest beatOutputNotNull()}  {com.xxl.job.core.biz.impl.ExecutorBizImplTest beat()}),
211abb985b0961f31f546c40ab94370f1bb9bd1f,EXTRACT_MOVE, EXTRACT_MOVE	{Method index(HttpServletRequest  Model  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobCodeController.java:36}	{Method validPermission(HttpServletRequest  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:86}) EXTRACT_MOVE({com.xxl.job.admin.controller.JobCodeController index(HttpServletRequest  Model  int)}  {com.xxl.job.admin.controller.JobInfoController validPermission(HttpServletRequest  int)}),
211abb985b0961f31f546c40ab94370f1bb9bd1f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method pageList(int  int  int  int  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobLogController.java:77}	{Method pageList(HttpServletRequest  int  int  int  int  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobLogController.java:84}) CHANGE_SIGNATURE({com.xxl.job.admin.controller.JobLogController pageList(int  int  int  int  int  String)}  {com.xxl.job.admin.controller.JobLogController pageList(HttpServletRequest  int  int  int  int  int  String)}),
662e129afcd89bc726bdd8f8395f727f79f33c66,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method reschedule(String  String  String  String  String  String  String  String  String  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/impl/XxlJobServiceImpl.java:147}	{Method reschedule(String  String  String  String  String  String  String  String  String  String  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/impl/XxlJobServiceImpl.java:151}) CHANGE_SIGNATURE({com.xxl.job.admin.service.impl.XxlJobServiceImpl reschedule(String  String  String  String  String  String  String  String  String  int  String)}  {com.xxl.job.admin.service.impl.XxlJobServiceImpl reschedule(String  String  String  String  String  String  String  String  String  String  int  String)}),
662e129afcd89bc726bdd8f8395f727f79f33c66,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method reschedule(String  String  String  String  String  String  String  String  String  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/IXxlJobService.java:20}	{Method reschedule(String  String  String  String  String  String  String  String  String  String  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/IXxlJobService.java:20}) CHANGE_SIGNATURE({com.xxl.job.admin.service.IXxlJobService reschedule(String  String  String  String  String  String  String  String  String  int  String)}  {com.xxl.job.admin.service.IXxlJobService reschedule(String  String  String  String  String  String  String  String  String  String  int  String)}),
662e129afcd89bc726bdd8f8395f727f79f33c66,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method reschedule(String  String  String  String  String  String  String  String  String  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:51}	{Method reschedule(String  String  String  String  String  String  String  String  String  String  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:52}) CHANGE_SIGNATURE({com.xxl.job.admin.controller.JobInfoController reschedule(String  String  String  String  String  String  String  String  String  int  String)}  {com.xxl.job.admin.controller.JobInfoController reschedule(String  String  String  String  String  String  String  String  String  String  int  String)}),
662e129afcd89bc726bdd8f8395f727f79f33c66,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method add(String  String  String  String  String  String  String  String  int  String  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/impl/XxlJobServiceImpl.java:63}	{Method add(String  String  String  String  String  String  String  String  String  int  String  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/impl/XxlJobServiceImpl.java:63}) CHANGE_SIGNATURE({com.xxl.job.admin.service.impl.XxlJobServiceImpl add(String  String  String  String  String  String  String  String  int  String  String  String)}  {com.xxl.job.admin.service.impl.XxlJobServiceImpl add(String  String  String  String  String  String  String  String  String  int  String  String  String)}),
662e129afcd89bc726bdd8f8395f727f79f33c66,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method add(String  String  String  String  String  String  String  String  int  String  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:41}	{Method add(String  String  String  String  String  String  String  String  String  int  String  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:41}) CHANGE_SIGNATURE({com.xxl.job.admin.controller.JobInfoController add(String  String  String  String  String  String  String  String  int  String  String  String)}  {com.xxl.job.admin.controller.JobInfoController add(String  String  String  String  String  String  String  String  String  int  String  String  String)}),
662e129afcd89bc726bdd8f8395f727f79f33c66,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method add(String  String  String  String  String  String  String  String  int  String  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/IXxlJobService.java:16}	{Method add(String  String  String  String  String  String  String  String  String  int  String  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/IXxlJobService.java:16}) CHANGE_SIGNATURE({com.xxl.job.admin.service.IXxlJobService add(String  String  String  String  String  String  String  String  int  String  String  String)}  {com.xxl.job.admin.service.IXxlJobService add(String  String  String  String  String  String  String  String  String  int  String  String  String)}),
9329fb39e7560fd3f0ec428cd5a63d8d3555095c,EXTRACT, EXTRACT	{Method index(HttpServletRequest  Model  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:44}	{Method filterJobGroupByRole(HttpServletRequest  List) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:66}) EXTRACT({com.xxl.job.admin.controller.JobInfoController index(HttpServletRequest  Model  int)}  {com.xxl.job.admin.controller.JobInfoController filterJobGroupByRole(HttpServletRequest  List)}),
9329fb39e7560fd3f0ec428cd5a63d8d3555095c,EXTRACT_MOVE, EXTRACT_MOVE	{Method index(HttpServletRequest  Model  Integer) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobLogController.java:47}	{Method filterJobGroupByRole(HttpServletRequest  List) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:66}) EXTRACT_MOVE({com.xxl.job.admin.controller.JobLogController index(HttpServletRequest  Model  Integer)}  {com.xxl.job.admin.controller.JobInfoController filterJobGroupByRole(HttpServletRequest  List)}),
9329fb39e7560fd3f0ec428cd5a63d8d3555095c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method index(Model  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobCodeController.java:32}	{Method index(HttpServletRequest  Model  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobCodeController.java:36}) CHANGE_SIGNATURE({com.xxl.job.admin.controller.JobCodeController index(Model  int)}  {com.xxl.job.admin.controller.JobCodeController index(HttpServletRequest  Model  int)}),
628d42194199fb1b5e832c217b2891c0d73eb7a4,RENAME, RENAME	{Method regist(String  IJobHandler) at xxl-job-core/src/main/java/com/xxl/job/core/handler/HandlerRepository.java:67}	{Method registJobHandlerThread(String  IJobHandler) at xxl-job-core/src/main/java/com/xxl/job/core/handler/HandlerRepository.java:77}) RENAME({com.xxl.job.core.handler.HandlerRepository regist(String  IJobHandler)}  {com.xxl.job.core.handler.HandlerRepository registJobHandlerThread(String  IJobHandler)}),
90f658464e056cd1fab0478cf2a004d1c7274bb1,MOVE, MOVE	{Class XxlJobServlet at xxl-job-client/src/main/java/com/xxl/job/client/netcom/http/XxlJobServlet.java:16}	{Class XxlJobServlet at xxl-job-client/src/main/java/com/xxl/job/client/netcom/servlet/XxlJobServlet.java:16}) MOVE({com.xxl.job.client.netcom.http.XxlJobServlet}  {com.xxl.job.client.netcom.servlet.XxlJobServlet}),
4ce20c103870d94c094535456fd7b0383bd3c320,EXTRACT_MOVE, EXTRACT_MOVE	{Method add(XxlJobInfo) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/impl/XxlJobServiceImpl.java:70}	{Method getChildJobId() at xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobInfo.java:175}) EXTRACT_MOVE({com.xxl.job.admin.service.impl.XxlJobServiceImpl add(XxlJobInfo)}  {com.xxl.job.admin.core.model.XxlJobInfo getChildJobId()}),
4ce20c103870d94c094535456fd7b0383bd3c320,EXTRACT_MOVE, EXTRACT_MOVE	{Method reschedule(XxlJobInfo) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/impl/XxlJobServiceImpl.java:147}	{Method getChildJobId() at xxl-job-admin/src/main/java/com/xxl/job/admin/core/model/XxlJobInfo.java:175}) EXTRACT_MOVE({com.xxl.job.admin.service.impl.XxlJobServiceImpl reschedule(XxlJobInfo)}  {com.xxl.job.admin.core.model.XxlJobInfo getChildJobId()}),
c511a94561b02fcadf3ce428473f4e54419ad99d,MOVE, MOVE	{Class ExecutorBizTest at xxl-job-admin/src/test/java/com/xxl/job/executor/ExecutorBizTest.java:14}	{Class ExecutorBizTest at xxl-job-admin/src/test/java/com/xxl/job/executorbiz/ExecutorBizTest.java:14}) MOVE({com.xxl.job.executor.ExecutorBizTest}  {com.xxl.job.executorbiz.ExecutorBizTest}),
a410b8465f6964d88106a03b04176d2ae3a3cb10,MOVE_RENAME, MOVE_RENAME	{Class DemoJobHandlerTest at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/test/java/com/xxl/executor/test/DemoJobHandlerTest.java:13}	{Class ExecutorBizTest at xxl-job-admin/src/test/java/com/xxl/job/executor/ExecutorBizTest.java:13}) MOVE_RENAME({com.xxl.executor.test.DemoJobHandlerTest}  {com.xxl.job.executor.ExecutorBizTest}),
a410b8465f6964d88106a03b04176d2ae3a3cb10,EXTRACT, EXTRACT	{Method main(String[]) at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/test/java/com/xxl/executor/test/DemoJobHandlerTest.java:20}	{Method runTest(String  String) at xxl-job-admin/src/test/java/com/xxl/job/executor/ExecutorBizTest.java:29}) EXTRACT({com.xxl.executor.test.DemoJobHandlerTest main(String[])}  {com.xxl.job.executor.ExecutorBizTest runTest(String  String)}),
67fc5a189567f52298ab5a3e4da1dcf7deee1b69,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method trigger(int  TriggerTypeEnum  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java:51}	{Method trigger(int  TriggerTypeEnum  int  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java:51}) CHANGE_SIGNATURE({com.xxl.job.admin.core.thread.JobTriggerPoolHelper trigger(int  TriggerTypeEnum  int  String)}  {com.xxl.job.admin.core.thread.JobTriggerPoolHelper trigger(int  TriggerTypeEnum  int  String  String)}),
67fc5a189567f52298ab5a3e4da1dcf7deee1b69,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addTrigger(int  TriggerTypeEnum  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java:32}	{Method addTrigger(int  TriggerTypeEnum  int  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java:32}) CHANGE_SIGNATURE({com.xxl.job.admin.core.thread.JobTriggerPoolHelper addTrigger(int  TriggerTypeEnum  int  String)}  {com.xxl.job.admin.core.thread.JobTriggerPoolHelper addTrigger(int  TriggerTypeEnum  int  String  String)}),
67fc5a189567f52298ab5a3e4da1dcf7deee1b69,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method trigger(int  TriggerTypeEnum  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/trigger/XxlJobTrigger.java:29}	{Method trigger(int  TriggerTypeEnum  int  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/trigger/XxlJobTrigger.java:29}) CHANGE_SIGNATURE({com.xxl.job.admin.core.trigger.XxlJobTrigger trigger(int  TriggerTypeEnum  int  String)}  {com.xxl.job.admin.core.trigger.XxlJobTrigger trigger(int  TriggerTypeEnum  int  String  String)}),
67fc5a189567f52298ab5a3e4da1dcf7deee1b69,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method triggerJob(int) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:91}	{Method triggerJob(int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:91}) CHANGE_SIGNATURE({com.xxl.job.admin.controller.JobInfoController triggerJob(int)}  {com.xxl.job.admin.controller.JobInfoController triggerJob(int  String)}),
18162e75c2873ba55887078c9ad9fc1caad2c8a6,EXTRACT, EXTRACT	{Method start() at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobScheduleHelper.java:34}	{Method pushTimeRing(int  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobScheduleHelper.java:251}) EXTRACT({com.xxl.job.admin.core.thread.JobScheduleHelper start()}  {com.xxl.job.admin.core.thread.JobScheduleHelper pushTimeRing(int  int)}),
33f124e8c337daa9d5bc70f40812b6b82772c9ae,RENAME, RENAME	{Interface IXxlJobService at xxl-job-admin/src/main/java/com/xxl/job/admin/service/IXxlJobService.java:9}	{Interface XxlJobService at xxl-job-admin/src/main/java/com/xxl/job/admin/service/XxlJobService.java:9}) RENAME({com.xxl.job.admin.service.IXxlJobService}  {com.xxl.job.admin.service.XxlJobService}),
46779d7e6bfde30bf4e6fb4f1106be3d13802a0d,MOVE, MOVE	{Class JacksonUtil at xxl-job-core/src/main/java/com/xxl/job/core/util/JacksonUtil.java:15}	{Class JacksonUtil at xxl-job-admin/src/main/java/com/xxl/job/admin/core/util/JacksonUtil.java:15}) MOVE({com.xxl.job.core.util.JacksonUtil}  {com.xxl.job.admin.core.util.JacksonUtil}),
46779d7e6bfde30bf4e6fb4f1106be3d13802a0d,RENAME, RENAME	{Method appendFileLine(String  String) at xxl-job-core/src/main/java/com/xxl/job/core/util/FileUtil.java:47}	{Method writeFileContent(File  byte[]) at xxl-job-core/src/main/java/com/xxl/job/core/util/FileUtil.java:51}) RENAME({com.xxl.job.core.util.FileUtil appendFileLine(String  String)}  {com.xxl.job.core.util.FileUtil writeFileContent(File  byte[])}),
8048b0c78c9c7341b711db37806f2aac0d6111ba,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method reschedule(String  String  String  String  String  String  String  String  String  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/impl/XxlJobServiceImpl.java:129}	{Method reschedule(String  String  String  String  String  String  String  String  String  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/impl/XxlJobServiceImpl.java:131}) CHANGE_SIGNATURE({com.xxl.job.admin.service.impl.XxlJobServiceImpl reschedule(String  String  String  String  String  String  String  String  String  int)}  {com.xxl.job.admin.service.impl.XxlJobServiceImpl reschedule(String  String  String  String  String  String  String  String  String  int  String)}),
8048b0c78c9c7341b711db37806f2aac0d6111ba,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method add(String  String  String  String  String  String  String  String  int  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/impl/XxlJobServiceImpl.java:62}	{Method add(String  String  String  String  String  String  String  String  int  String  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/impl/XxlJobServiceImpl.java:62}) CHANGE_SIGNATURE({com.xxl.job.admin.service.impl.XxlJobServiceImpl add(String  String  String  String  String  String  String  String  int  String  String)}  {com.xxl.job.admin.service.impl.XxlJobServiceImpl add(String  String  String  String  String  String  String  String  int  String  String  String)}),
8048b0c78c9c7341b711db37806f2aac0d6111ba,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method reschedule(String  String  String  String  String  String  String  String  String  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/IXxlJobService.java:19}	{Method reschedule(String  String  String  String  String  String  String  String  String  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/IXxlJobService.java:20}) CHANGE_SIGNATURE({com.xxl.job.admin.service.IXxlJobService reschedule(String  String  String  String  String  String  String  String  String  int)}  {com.xxl.job.admin.service.IXxlJobService reschedule(String  String  String  String  String  String  String  String  String  int  String)}),
8048b0c78c9c7341b711db37806f2aac0d6111ba,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method reschedule(String  String  String  String  String  String  String  String  String  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:50}	{Method reschedule(String  String  String  String  String  String  String  String  String  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:51}) CHANGE_SIGNATURE({com.xxl.job.admin.controller.JobInfoController reschedule(String  String  String  String  String  String  String  String  String  int)}  {com.xxl.job.admin.controller.JobInfoController reschedule(String  String  String  String  String  String  String  String  String  int  String)}),
8048b0c78c9c7341b711db37806f2aac0d6111ba,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method add(String  String  String  String  String  String  String  String  int  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:41}	{Method add(String  String  String  String  String  String  String  String  int  String  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/controller/JobInfoController.java:41}) CHANGE_SIGNATURE({com.xxl.job.admin.controller.JobInfoController add(String  String  String  String  String  String  String  String  int  String  String)}  {com.xxl.job.admin.controller.JobInfoController add(String  String  String  String  String  String  String  String  int  String  String  String)}),
8048b0c78c9c7341b711db37806f2aac0d6111ba,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method add(String  String  String  String  String  String  String  String  int  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/IXxlJobService.java:16}	{Method add(String  String  String  String  String  String  String  String  int  String  String  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/service/IXxlJobService.java:16}) CHANGE_SIGNATURE({com.xxl.job.admin.service.IXxlJobService add(String  String  String  String  String  String  String  String  int  String  String)}  {com.xxl.job.admin.service.IXxlJobService add(String  String  String  String  String  String  String  String  int  String  String  String)}),
00465f53c6fa64fd9b5465e1cc45420e23247186,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method login(HttpServletResponse) at xxl-job-admin/src/main/java/com/xxl/job/controller/interceptor/PermissionInterceptor.java:21}	{Method login(HttpServletResponse  boolean) at xxl-job-admin/src/main/java/com/xxl/job/controller/interceptor/PermissionInterceptor.java:21}) CHANGE_SIGNATURE({com.xxl.job.controller.interceptor.PermissionInterceptor login(HttpServletResponse)}  {com.xxl.job.controller.interceptor.PermissionInterceptor login(HttpServletResponse  boolean)}),
00465f53c6fa64fd9b5465e1cc45420e23247186,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method set(HttpServletResponse  String  String) at xxl-job-admin/src/main/java/com/xxl/job/core/util/CookieUtil.java:17}	{Method set(HttpServletResponse  String  String  boolean) at xxl-job-admin/src/main/java/com/xxl/job/core/util/CookieUtil.java:17}) CHANGE_SIGNATURE({com.xxl.job.core.util.CookieUtil set(HttpServletResponse  String  String)}  {com.xxl.job.core.util.CookieUtil set(HttpServletResponse  String  String  boolean)}),
00465f53c6fa64fd9b5465e1cc45420e23247186,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method loginDo(HttpServletRequest  HttpServletResponse  String  String) at xxl-job-admin/src/main/java/com/xxl/job/controller/IndexController.java:42}	{Method loginDo(HttpServletRequest  HttpServletResponse  String  String  String) at xxl-job-admin/src/main/java/com/xxl/job/controller/IndexController.java:42}) CHANGE_SIGNATURE({com.xxl.job.controller.IndexController loginDo(HttpServletRequest  HttpServletResponse  String  String)}  {com.xxl.job.controller.IndexController loginDo(HttpServletRequest  HttpServletResponse  String  String  String)}),
71e12272c355bfa564c946a2b9631f0b03a256ca,RENAME, RENAME	{Enum NameSpaceEnum at xxl-job-core/src/main/java/com/xxl/job/core/handler/HandlerRepository.java:23}	{Enum ActionEnum at xxl-job-core/src/main/java/com/xxl/job/core/handler/HandlerRepository.java:64}) RENAME({com.xxl.job.core.handler.HandlerRepository NameSpaceEnum}  {com.xxl.job.core.handler.HandlerRepository ActionEnum}),
8b71e2cec4d4e32cd8bacd36bc6abcb3d412da91,MOVE_RENAME, MOVE_RENAME	{Class HandlerThread at xxl-job-core/src/main/java/com/xxl/job/core/handler/HandlerThread.java:18}	{Class JobThread at xxl-job-core/src/main/java/com/xxl/job/core/router/thread/JobThread.java:18}) MOVE_RENAME({com.xxl.job.core.handler.HandlerThread}  {com.xxl.job.core.router.thread.JobThread}),
8b71e2cec4d4e32cd8bacd36bc6abcb3d412da91,EXTRACT_MOVE, EXTRACT_MOVE	{Method handle(String  Request  HttpServletRequest  HttpServletResponse) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/callback/XxlJobLogCallbackServerHandler.java:24}	{Method getStatus() at xxl-job-core/src/main/java/com/xxl/job/core/router/model/RequestModel.java:106}) EXTRACT_MOVE({com.xxl.job.admin.core.callback.XxlJobLogCallbackServerHandler handle(String  Request  HttpServletRequest  HttpServletResponse)}  {com.xxl.job.core.router.model.RequestModel getStatus()}),
8b71e2cec4d4e32cd8bacd36bc6abcb3d412da91,RENAME, RENAME	{Class HttpUtil at xxl-job-core/src/main/java/com/xxl/job/core/util/HttpUtil.java:19}	{Class XxlJobNetCommUtil at xxl-job-core/src/main/java/com/xxl/job/core/util/XxlJobNetCommUtil.java:22}) RENAME({com.xxl.job.core.util.HttpUtil}  {com.xxl.job.core.util.XxlJobNetCommUtil}),
8b71e2cec4d4e32cd8bacd36bc6abcb3d412da91,EXTRACT_MOVE, EXTRACT_MOVE	{Method handle(String  Request  HttpServletRequest  HttpServletResponse) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/callback/XxlJobLogCallbackServerHandler.java:24}	{Method getMsg() at xxl-job-core/src/main/java/com/xxl/job/core/router/model/RequestModel.java:114}) EXTRACT_MOVE({com.xxl.job.admin.core.callback.XxlJobLogCallbackServerHandler handle(String  Request  HttpServletRequest  HttpServletResponse)}  {com.xxl.job.core.router.model.RequestModel getMsg()}),
8b71e2cec4d4e32cd8bacd36bc6abcb3d412da91,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method toStop() at xxl-job-core/src/main/java/com/xxl/job/core/handler/HandlerThread.java:39}	{Method toStop(String) at xxl-job-core/src/main/java/com/xxl/job/core/router/thread/JobThread.java:51}) CHANGE_SIGNATURE({com.xxl.job.core.handler.HandlerThread toStop()}  {com.xxl.job.core.router.thread.JobThread toStop(String)}),
8b71e2cec4d4e32cd8bacd36bc6abcb3d412da91,RENAME, RENAME	{Method registJobHandlerThread(String  IJobHandler) at xxl-job-core/src/main/java/com/xxl/job/core/handler/HandlerRepository.java:77}	{Method registJobThread(String  IJobHandler) at xxl-job-core/src/main/java/com/xxl/job/core/router/HandlerRouter.java:39}) RENAME({com.xxl.job.core.handler.HandlerRepository registJobHandlerThread(String  IJobHandler)}  {com.xxl.job.core.router.HandlerRouter registJobThread(String  IJobHandler)}),
8b71e2cec4d4e32cd8bacd36bc6abcb3d412da91,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method readLog(Date  String) at xxl-job-core/src/main/java/com/xxl/job/core/log/XxlJobFileAppender.java:109}	{Method readLog(Date  int) at xxl-job-core/src/main/java/com/xxl/job/core/log/XxlJobFileAppender.java:102}) CHANGE_SIGNATURE({com.xxl.job.core.log.XxlJobFileAppender readLog(Date  String)}  {com.xxl.job.core.log.XxlJobFileAppender readLog(Date  int)}),
