Hash,Refatoração,Descrição
5dfc6a1092ae8131db160d23323dca33f7501ad8,MOVE, MOVE	{Method httpJobHandler(String) at xxl-job-executor-samples/xxl-job-executor-sample-spring/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:116}	{Method httpJobHandler() at xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/service/jobhandler/SampleXxlJob.java:120}) MOVE({com.xxl.job.executor.service.jobhandler.SampleXxlJob httpJobHandler(String)}  {com.xxl.job.executor.service.jobhandler.SampleXxlJob httpJobHandler()}),
c1363c7567a688ca8193de6effe9e4ac491a0a31,EXTRACT_MOVE, EXTRACT_MOVE	{Method executeInternal(JobExecutionContext) at xxl-job-admin/src/main/java/com/xxl/job/service/job/RemoteHttpJobBean.java:34}	{Method addressToUrl(String) at xxl-job-client/src/main/java/com/xxl/job/client/util/HttpUtil.java:120}) EXTRACT_MOVE({com.xxl.job.service.job.RemoteHttpJobBean executeInternal(JobExecutionContext)}  {com.xxl.job.client.util.HttpUtil addressToUrl(String)}),
54fce811ebd1d1d4dd179db933cc4f18ce80c787,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addTrigger(int  int  TriggerTypeEnum) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java:32}	{Method addTrigger(int  TriggerTypeEnum  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java:32}) CHANGE_SIGNATURE({com.xxl.job.admin.core.thread.JobTriggerPoolHelper addTrigger(int  int  TriggerTypeEnum)}  {com.xxl.job.admin.core.thread.JobTriggerPoolHelper addTrigger(int  TriggerTypeEnum  int  String)}),
54fce811ebd1d1d4dd179db933cc4f18ce80c787,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method processTrigger(XxlJobGroup  XxlJobInfo  int  TriggerTypeEnum  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/trigger/XxlJobTrigger.java:59}	{Method processTrigger(XxlJobGroup  XxlJobInfo  int  TriggerTypeEnum  int  int) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/trigger/XxlJobTrigger.java:69}) CHANGE_SIGNATURE({com.xxl.job.admin.core.trigger.XxlJobTrigger processTrigger(XxlJobGroup  XxlJobInfo  int  TriggerTypeEnum  int)}  {com.xxl.job.admin.core.trigger.XxlJobTrigger processTrigger(XxlJobGroup  XxlJobInfo  int  TriggerTypeEnum  int  int)}),
54fce811ebd1d1d4dd179db933cc4f18ce80c787,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method trigger(int  int  TriggerTypeEnum) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/trigger/XxlJobTrigger.java:30}	{Method trigger(int  TriggerTypeEnum  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/trigger/XxlJobTrigger.java:29}) CHANGE_SIGNATURE({com.xxl.job.admin.core.trigger.XxlJobTrigger trigger(int  int  TriggerTypeEnum)}  {com.xxl.job.admin.core.trigger.XxlJobTrigger trigger(int  TriggerTypeEnum  int  String)}),
54fce811ebd1d1d4dd179db933cc4f18ce80c787,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method trigger(int  int  TriggerTypeEnum) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java:51}	{Method trigger(int  TriggerTypeEnum  int  String) at xxl-job-admin/src/main/java/com/xxl/job/admin/core/thread/JobTriggerPoolHelper.java:51}) CHANGE_SIGNATURE({com.xxl.job.admin.core.thread.JobTriggerPoolHelper trigger(int  int  TriggerTypeEnum)}  {com.xxl.job.admin.core.thread.JobTriggerPoolHelper trigger(int  TriggerTypeEnum  int  String)}),
4d44822efac0202861db77c8c49e5538f13b847c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method kill(int) at xxl-job-core/src/main/java/com/xxl/job/core/biz/client/ExecutorBizClient.java:49}	{Method kill(KillParam) at xxl-job-core/src/main/java/com/xxl/job/core/biz/client/ExecutorBizClient.java:46}) CHANGE_SIGNATURE({com.xxl.job.core.biz.client.ExecutorBizClient kill(int)}  {com.xxl.job.core.biz.client.ExecutorBizClient kill(KillParam)}),
4d44822efac0202861db77c8c49e5538f13b847c,EXTRACT_MOVE, EXTRACT_MOVE	{Method kill(int) at xxl-job-core/src/main/java/com/xxl/job/core/biz/impl/ExecutorBizImpl.java:154}	{Method getJobId() at xxl-job-core/src/main/java/com/xxl/job/core/biz/model/KillParam.java:20}) EXTRACT_MOVE({com.xxl.job.core.biz.impl.ExecutorBizImpl kill(int)}  {com.xxl.job.core.biz.model.KillParam getJobId()}),
4d44822efac0202861db77c8c49e5538f13b847c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method idleBeat(int) at xxl-job-core/src/main/java/com/xxl/job/core/biz/impl/ExecutorBizImpl.java:33}	{Method idleBeat(IdleBeatParam) at xxl-job-core/src/main/java/com/xxl/job/core/biz/impl/ExecutorBizImpl.java:30}) CHANGE_SIGNATURE({com.xxl.job.core.biz.impl.ExecutorBizImpl idleBeat(int)}  {com.xxl.job.core.biz.impl.ExecutorBizImpl idleBeat(IdleBeatParam)}),
4d44822efac0202861db77c8c49e5538f13b847c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method kill(int) at xxl-job-core/src/main/java/com/xxl/job/core/biz/ExecutorBiz.java:34}	{Method kill(KillParam) at xxl-job-core/src/main/java/com/xxl/job/core/biz/ExecutorBiz.java:31}) CHANGE_SIGNATURE({com.xxl.job.core.biz.ExecutorBiz kill(int)}  {com.xxl.job.core.biz.ExecutorBiz kill(KillParam)}),
