Hash,Refatoração,Descrição
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method writeOriginalFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:237}	{Method writeOriginalFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:511}) MOVE({brut.androlib.Androlib writeOriginalFiles(ExtFile  File)}  {brut.androlib.ApkDecoder writeOriginalFiles(ExtFile  File)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method isFrameworkApk(ResTable) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:793}	{Method isFrameworkApk() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResTable.java:215}) MOVE({brut.androlib.Androlib isFrameworkApk(ResTable)}  {brut.androlib.res.data.ResTable isFrameworkApk()}),
9c495cae295dbff3aab378da4a889d8b926f081a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method writeMetaFile() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:246}	{Method writeMetaFile(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:253}) CHANGE_SIGNATURE({brut.androlib.ApkDecoder writeMetaFile()}  {brut.androlib.ApkDecoder writeMetaFile(File)}),
9c495cae295dbff3aab378da4a889d8b926f081a,INLINE, INLINE	{Method listFrameworks() at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:785}	{Method cmdListFrameworks(CommandLine  Config) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:277}) INLINE({brut.androlib.Androlib listFrameworks()}  {brut.apktool.Main cmdListFrameworks(CommandLine  Config)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method decodeUnknownFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:213}	{Method decodeUnknownFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:487}) MOVE({brut.androlib.Androlib decodeUnknownFiles(ExtFile  File)}  {brut.androlib.ApkDecoder decodeUnknownFiles(ExtFile  File)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method decodeSourcesRaw(ExtFile  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:82}	{Method decodeSourcesRaw(ExtFile  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:384}) MOVE({brut.androlib.Androlib decodeSourcesRaw(ExtFile  File  String)}  {brut.androlib.ApkDecoder decodeSourcesRaw(ExtFile  File  String)}),
9c495cae295dbff3aab378da4a889d8b926f081a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method putVersionInfo(MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:346}	{Method putVersionInfo(File  MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:357}) CHANGE_SIGNATURE({brut.androlib.ApkDecoder putVersionInfo(MetaInfo)}  {brut.androlib.ApkDecoder putVersionInfo(File  MetaInfo)}),
9c495cae295dbff3aab378da4a889d8b926f081a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method build(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:294}	{Method build(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:80}) CHANGE_SIGNATURE({brut.androlib.Androlib build(ExtFile  File)}  {brut.androlib.ApkBuilder build(File)}),
9c495cae295dbff3aab378da4a889d8b926f081a,INLINE, INLINE	{Method getMinSdkVersion() at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:78}	{Method putMinSdkInfo(MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:327}) INLINE({brut.androlib.Androlib getMinSdkVersion()}  {brut.androlib.ApkDecoder putMinSdkInfo(MetaInfo)}),
9c495cae295dbff3aab378da4a889d8b926f081a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method putSdkInfo(MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:289}	{Method putSdkInfo(File  MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:301}) CHANGE_SIGNATURE({brut.androlib.ApkDecoder putSdkInfo(MetaInfo)}  {brut.androlib.ApkDecoder putSdkInfo(File  MetaInfo)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method isAPKFileNames(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:204}	{Method isAPKFileNames(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:478}) MOVE({brut.androlib.Androlib isAPKFileNames(String)}  {brut.androlib.ApkDecoder isAPKFileNames(String)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method recordUncompressedFiles(ExtFile  Collection) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:176}	{Method recordUncompressedFiles(ExtFile  Collection) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:544}) MOVE({brut.androlib.Androlib recordUncompressedFiles(ExtFile  Collection)}  {brut.androlib.ApkDecoder recordUncompressedFiles(ExtFile  Collection)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method decodeResourcesRaw(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:131}	{Method decodeResourcesRaw(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:433}) MOVE({brut.androlib.Androlib decodeResourcesRaw(ExtFile  File)}  {brut.androlib.ApkDecoder decodeResourcesRaw(ExtFile  File)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method decodeSourcesSmali(File  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:92}	{Method decodeSourcesSmali(File  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:394}) MOVE({brut.androlib.Androlib decodeSourcesSmali(File  File  String)}  {brut.androlib.ApkDecoder decodeSourcesSmali(File  File  String)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method readMetaFile(ExtFile) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:279}	{Method readMetaFile(ExtFile) at brut.apktool/apktool-lib/src/main/java/brut/androlib/meta/MetaInfo.java:80}) MOVE({brut.androlib.Androlib readMetaFile(ExtFile)}  {brut.androlib.meta.MetaInfo readMetaFile(ExtFile)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method decodeManifestWithResources(ExtFile  File  ResTable) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:146}	{Method decodeManifestWithResources(ExtFile  File  ResTable) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:448}) MOVE({brut.androlib.Androlib decodeManifestWithResources(ExtFile  File  ResTable)}  {brut.androlib.ApkDecoder decodeManifestWithResources(ExtFile  File  ResTable)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method decodeManifestRaw(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:116}	{Method decodeManifestRaw(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:418}) MOVE({brut.androlib.Androlib decodeManifestRaw(ExtFile  File)}  {brut.androlib.ApkDecoder decodeManifestRaw(ExtFile  File)}),
9c495cae295dbff3aab378da4a889d8b926f081a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decode() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:74}	{Method decode(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:92}) CHANGE_SIGNATURE({brut.androlib.ApkDecoder decode()}  {brut.androlib.ApkDecoder decode(File)}),
9c495cae295dbff3aab378da4a889d8b926f081a,RENAME, RENAME	{Class Androlib at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:53}	{Class ApkBuilder at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:51}) RENAME({brut.androlib.Androlib}  {brut.androlib.ApkBuilder}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method decodeResourcesFull(ExtFile  File  ResTable) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:141}	{Method decodeResourcesFull(ExtFile  File  ResTable) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:443}) MOVE({brut.androlib.Androlib decodeResourcesFull(ExtFile  File  ResTable)}  {brut.androlib.ApkDecoder decodeResourcesFull(ExtFile  File  ResTable)}),
28883538a784bbf8ded859403efa22c38429667b,EXTRACT, EXTRACT	{Method extractToTmp(String) at brut.j.util/src/main/java/brut/util/Jar.java:59}	{Method extractToTmp(String  Class) at brut.j.util/src/main/java/brut/util/Jar.java:63}) EXTRACT({brut.util.Jar extractToTmp(String)}  {brut.util.Jar extractToTmp(String  Class)}),
28883538a784bbf8ded859403efa22c38429667b,EXTRACT, EXTRACT	{Method extractToTmp(String  String) at brut.j.util/src/main/java/brut/util/Jar.java:63}	{Method extractToTmp(String  String  Class) at brut.j.util/src/main/java/brut/util/Jar.java:71}) EXTRACT({brut.util.Jar extractToTmp(String  String)}  {brut.util.Jar extractToTmp(String  String  Class)}),
28883538a784bbf8ded859403efa22c38429667b,EXTRACT, EXTRACT	{Method getResourceAsFile(String) at brut.j.util/src/main/java/brut/util/Jar.java:35}	{Method getResourceAsFile(String  Class) at brut.j.util/src/main/java/brut/util/Jar.java:35}) EXTRACT({brut.util.Jar getResourceAsFile(String)}  {brut.util.Jar getResourceAsFile(String  Class)}),
5c31f4de8e840d0bbd4e5be8d2d53633d9ef3e51,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(int  String  int) at apktool-lib/src/main/java/brut/androlib/res/data/value/ResColorValue.java:27}	{Method new(int  String) at apktool-lib/src/main/java/brut/androlib/res/data/value/ResColorValue.java:23}) CHANGE_SIGNATURE({brut.androlib.res.data.value.ResColorValue new(int  String  int)}  {brut.androlib.res.data.value.ResColorValue new(int  String)}),
a28f40692a43412eb653a11188947fcd0b0711ad,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  byte  short) at src/brut/androlib/res/data/ResConfigFlags.java:64}	{Method new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  short  byte) at src/brut/androlib/res/data/ResConfigFlags.java:65}) CHANGE_SIGNATURE({brut.androlib.res.data.ResConfigFlags new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  byte  short)}  {brut.androlib.res.data.ResConfigFlags new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  short  byte)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,EXTRACT_MOVE, EXTRACT_MOVE	{Method beforeClass() at apktool-lib/src/test/java/brut/androlib/BuildAndDecodeTest.java:35}	{Method build(File  File  HashMap) at apktool-lib/src/main/java/brut/androlib/Androlib.java:173}) EXTRACT_MOVE({brut.androlib.BuildAndDecodeTest beforeClass()}  {brut.androlib.Androlib build(File  File  HashMap)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method build(ExtFile  File  boolean  boolean  boolean) at apktool-lib/src/main/java/brut/androlib/Androlib.java:177}	{Method build(ExtFile  File  HashMap) at apktool-lib/src/main/java/brut/androlib/Androlib.java:178}) CHANGE_SIGNATURE({brut.androlib.Androlib build(ExtFile  File  boolean  boolean  boolean)}  {brut.androlib.Androlib build(ExtFile  File  HashMap)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildLib(File  boolean) at apktool-lib/src/main/java/brut/androlib/Androlib.java:404}	{Method buildLib(File  HashMap) at apktool-lib/src/main/java/brut/androlib/Androlib.java:403}) CHANGE_SIGNATURE({brut.androlib.Androlib buildLib(File  boolean)}  {brut.androlib.Androlib buildLib(File  HashMap)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildSourcesRaw(File  boolean  boolean) at apktool-lib/src/main/java/brut/androlib/Androlib.java:208}	{Method buildSourcesRaw(File  HashMap) at apktool-lib/src/main/java/brut/androlib/Androlib.java:209}) CHANGE_SIGNATURE({brut.androlib.Androlib buildSourcesRaw(File  boolean  boolean)}  {brut.androlib.Androlib buildSourcesRaw(File  HashMap)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildSourcesSmali(File  boolean  boolean) at apktool-lib/src/main/java/brut/androlib/Androlib.java:230}	{Method buildSourcesSmali(File  HashMap) at apktool-lib/src/main/java/brut/androlib/Androlib.java:231}) CHANGE_SIGNATURE({brut.androlib.Androlib buildSourcesSmali(File  boolean  boolean)}  {brut.androlib.Androlib buildSourcesSmali(File  HashMap)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildResources(ExtFile  boolean  boolean  Map) at apktool-lib/src/main/java/brut/androlib/Androlib.java:266}	{Method buildResources(ExtFile  HashMap  Map) at apktool-lib/src/main/java/brut/androlib/Androlib.java:267}) CHANGE_SIGNATURE({brut.androlib.Androlib buildResources(ExtFile  boolean  boolean  Map)}  {brut.androlib.Androlib buildResources(ExtFile  HashMap  Map)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildApk(File  File  boolean  boolean) at apktool-lib/src/main/java/brut/androlib/Androlib.java:422}	{Method buildApk(File  File  HashMap) at apktool-lib/src/main/java/brut/androlib/Androlib.java:421}) CHANGE_SIGNATURE({brut.androlib.Androlib buildApk(File  File  boolean  boolean)}  {brut.androlib.Androlib buildApk(File  File  HashMap)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildResourcesFull(File  boolean  boolean  Map) at apktool-lib/src/main/java/brut/androlib/Androlib.java:301}	{Method buildResourcesFull(File  HashMap  Map) at apktool-lib/src/main/java/brut/androlib/Androlib.java:300}) CHANGE_SIGNATURE({brut.androlib.Androlib buildResourcesFull(File  boolean  boolean  Map)}  {brut.androlib.Androlib buildResourcesFull(File  HashMap  Map)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(ExtFile  File  boolean) at apktool-lib/src/main/java/brut/androlib/src/SmaliBuilder.java:38}	{Method new(ExtFile  File  HashMap) at apktool-lib/src/main/java/brut/androlib/src/SmaliBuilder.java:40}) CHANGE_SIGNATURE({brut.androlib.src.SmaliBuilder new(ExtFile  File  boolean)}  {brut.androlib.src.SmaliBuilder new(ExtFile  File  HashMap)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildSourcesJava(File  boolean  boolean) at apktool-lib/src/main/java/brut/androlib/Androlib.java:248}	{Method buildSourcesJava(File  HashMap) at apktool-lib/src/main/java/brut/androlib/Androlib.java:249}) CHANGE_SIGNATURE({brut.androlib.Androlib buildSourcesJava(File  boolean  boolean)}  {brut.androlib.Androlib buildSourcesJava(File  HashMap)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildManifest(ExtFile  boolean  boolean  Map) at apktool-lib/src/main/java/brut/androlib/Androlib.java:358}	{Method buildManifest(ExtFile  HashMap  Map) at apktool-lib/src/main/java/brut/androlib/Androlib.java:357}) CHANGE_SIGNATURE({brut.androlib.Androlib buildManifest(ExtFile  boolean  boolean  Map)}  {brut.androlib.Androlib buildManifest(ExtFile  HashMap  Map)}),
bc10186af0bb4037db7baf3ec55da03df8d6d65b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildManifestRaw(ExtFile  boolean) at apktool-lib/src/main/java/brut/androlib/Androlib.java:345}	{Method buildManifestRaw(ExtFile  HashMap) at apktool-lib/src/main/java/brut/androlib/Androlib.java:344}) CHANGE_SIGNATURE({brut.androlib.Androlib buildManifestRaw(ExtFile  boolean)}  {brut.androlib.Androlib buildManifestRaw(ExtFile  HashMap)}),
