Hash,Refatoração,Descrição
4249dde7cc5539e638927100f5ae6e1c4bdaa773,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResStringValue.java:30}	{Method new(String  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResStringValue.java:30}) CHANGE_SIGNATURE({brut.androlib.res.data.value.ResStringValue new(String)}  {brut.androlib.res.data.value.ResStringValue new(String  int)}),
4249dde7cc5539e638927100f5ae6e1c4bdaa773,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method factory(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResValueFactory.java:69}	{Method factory(String  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResValueFactory.java:69}) CHANGE_SIGNATURE({brut.androlib.res.data.value.ResValueFactory factory(String)}  {brut.androlib.res.data.value.ResValueFactory factory(String  int)}),
4249dde7cc5539e638927100f5ae6e1c4bdaa773,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(String  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResScalarValue.java:35}	{Method new(String  int  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResScalarValue.java:35}) CHANGE_SIGNATURE({brut.androlib.res.data.value.ResScalarValue new(String  String)}  {brut.androlib.res.data.value.ResScalarValue new(String  int  String)}),
4249dde7cc5539e638927100f5ae6e1c4bdaa773,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(float  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResFloatValue.java:25}	{Method new(float  int  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResFloatValue.java:25}) CHANGE_SIGNATURE({brut.androlib.res.data.value.ResFloatValue new(float  String)}  {brut.androlib.res.data.value.ResFloatValue new(float  int  String)}),
4249dde7cc5539e638927100f5ae6e1c4bdaa773,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(String  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResStringValue.java:34}	{Method new(String  int  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResStringValue.java:34}) CHANGE_SIGNATURE({brut.androlib.res.data.value.ResStringValue new(String  String)}  {brut.androlib.res.data.value.ResStringValue new(String  int  String)}),
48993448171d1dbd8694fb0e2709df0cfe1fd398,EXTRACT, EXTRACT	{Method addResource(ResResource) at src/brut/androlib/res/data/ResResSpec.java:108}	{Method addResource(ResResource  boolean) at src/brut/androlib/res/data/ResResSpec.java:113}) EXTRACT({brut.androlib.res.data.ResResSpec addResource(ResResource)}  {brut.androlib.res.data.ResResSpec addResource(ResResource  boolean)}),
48993448171d1dbd8694fb0e2709df0cfe1fd398,EXTRACT, EXTRACT	{Method addResource(ResResource) at src/brut/androlib/res/data/ResConfig.java:57}	{Method addResource(ResResource  boolean) at src/brut/androlib/res/data/ResConfig.java:62}) EXTRACT({brut.androlib.res.data.ResConfig addResource(ResResource)}  {brut.androlib.res.data.ResConfig addResource(ResResource  boolean)}),
2748ef833a49a3c84c837ce96e26a023b3b85193,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method build(ExtFile  boolean  boolean) at src/brut/androlib/Androlib.java:150}	{Method build(ExtFile  File  boolean  boolean) at src/brut/androlib/Androlib.java:150}) CHANGE_SIGNATURE({brut.androlib.Androlib build(ExtFile  boolean  boolean)}  {brut.androlib.Androlib build(ExtFile  File  boolean  boolean)}),
2748ef833a49a3c84c837ce96e26a023b3b85193,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method build(File  boolean  boolean) at src/brut/androlib/Androlib.java:145}	{Method build(File  File  boolean  boolean) at src/brut/androlib/Androlib.java:145}) CHANGE_SIGNATURE({brut.androlib.Androlib build(File  boolean  boolean)}  {brut.androlib.Androlib build(File  File  boolean  boolean)}),
40d427e5bdf5c204c58022cef3b369f34e19b043,MOVE, MOVE	{Method publicizeResources(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:957}	{Method publicizeResources(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/Framework.java:109}) MOVE({brut.androlib.res.AndrolibResources publicizeResources(File)}  {brut.androlib.res.Framework publicizeResources(File)}),
40d427e5bdf5c204c58022cef3b369f34e19b043,MOVE, MOVE	{Method getFrameworkDirectory() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:986}	{Method getFrameworkDirectory() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/Framework.java:138}) MOVE({brut.androlib.res.AndrolibResources getFrameworkDirectory()}  {brut.androlib.res.Framework getFrameworkDirectory()}),
40d427e5bdf5c204c58022cef3b369f34e19b043,MOVE, MOVE	{Method installFramework(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:893}	{Method installFramework(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/Framework.java:31}) MOVE({brut.androlib.res.AndrolibResources installFramework(File)}  {brut.androlib.res.Framework installFramework(File)}),
40d427e5bdf5c204c58022cef3b369f34e19b043,MOVE, MOVE	{Method getFrameworkApk(int  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:822}	{Method getFrameworkApk(int  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/Framework.java:184}) MOVE({brut.androlib.res.AndrolibResources getFrameworkApk(int  String)}  {brut.androlib.res.Framework getFrameworkApk(int  String)}),
40d427e5bdf5c204c58022cef3b369f34e19b043,MOVE, MOVE	{Method listFrameworkDirectory() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:879}	{Method listFrameworkDirectory() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/Framework.java:95}) MOVE({brut.androlib.res.AndrolibResources listFrameworkDirectory()}  {brut.androlib.res.Framework listFrameworkDirectory()}),
40d427e5bdf5c204c58022cef3b369f34e19b043,MOVE, MOVE	{Method publicizeResources(byte[]  FlagsOffset[]) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:975}	{Method publicizeResources(byte[]  ARSCDecoder.FlagsOffset[]) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/Framework.java:127}) MOVE({brut.androlib.res.AndrolibResources publicizeResources(byte[]  FlagsOffset[])}  {brut.androlib.res.Framework publicizeResources(byte[]  ARSCDecoder.FlagsOffset[])}),
40d427e5bdf5c204c58022cef3b369f34e19b043,MOVE, MOVE	{Method installFramework(File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:897}	{Method installFramework(File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/Framework.java:35}) MOVE({brut.androlib.res.AndrolibResources installFramework(File  String)}  {brut.androlib.res.Framework installFramework(File  String)}),
40d427e5bdf5c204c58022cef3b369f34e19b043,MOVE, MOVE	{Method publicizeResources(byte[]) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:971}	{Method publicizeResources(byte[]) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/Framework.java:123}) MOVE({brut.androlib.res.AndrolibResources publicizeResources(byte[])}  {brut.androlib.res.Framework publicizeResources(byte[])}),
40d427e5bdf5c204c58022cef3b369f34e19b043,MOVE, MOVE	{Method getAndroidFrameworkResourcesAsStream() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:1047}	{Method getAndroidFrameworkResourcesAsStream() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/Framework.java:241}) MOVE({brut.androlib.res.AndrolibResources getAndroidFrameworkResourcesAsStream()}  {brut.androlib.res.Framework getAndroidFrameworkResourcesAsStream()}),
40d427e5bdf5c204c58022cef3b369f34e19b043,MOVE, MOVE	{Method emptyFrameworkDirectory() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:852}	{Method emptyFrameworkDirectory() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/Framework.java:214}) MOVE({brut.androlib.res.AndrolibResources emptyFrameworkDirectory()}  {brut.androlib.res.Framework emptyFrameworkDirectory()}),
3ec4f360ab09782421e47d16f88a95dd7f7d2058,MOVE_RENAME, MOVE_RENAME	{Method getMinSdkVersionFromAndroidCodename(MetaInfo  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:731}	{Method mapSdkShorthandToVersion(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:469}) MOVE_RENAME({brut.androlib.Androlib getMinSdkVersionFromAndroidCodename(MetaInfo  String)}  {brut.androlib.res.AndrolibResources mapSdkShorthandToVersion(String)}),
3b1a8be980e1e50e40d78e1ee235827807cfb6be,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method aaptPackage(File  File  File  File  File  File[]  HashMap) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:267}	{Method aaptPackage(File  File  File  File  File  File[]  HashMap  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:267}) CHANGE_SIGNATURE({brut.androlib.res.AndrolibResources aaptPackage(File  File  File  File  File  File[]  HashMap)}  {brut.androlib.res.AndrolibResources aaptPackage(File  File  File  File  File  File[]  HashMap  String)}),
3b1a8be980e1e50e40d78e1ee235827807cfb6be,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method build(File  File  HashMap  ExtFile) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:174}	{Method build(File  File  HashMap  ExtFile  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:174}) CHANGE_SIGNATURE({brut.androlib.Androlib build(File  File  HashMap  ExtFile)}  {brut.androlib.Androlib build(File  File  HashMap  ExtFile  String)}),
3b1a8be980e1e50e40d78e1ee235827807cfb6be,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method build(ExtFile  File  HashMap  ExtFile) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:179}	{Method build(ExtFile  File  HashMap  ExtFile  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:179}) CHANGE_SIGNATURE({brut.androlib.Androlib build(ExtFile  File  HashMap  ExtFile)}  {brut.androlib.Androlib build(ExtFile  File  HashMap  ExtFile  String)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,EXTRACT, EXTRACT	{Method cmdDecode(CommandLine) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:111}	{Method getLastArg(CommandLine) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:290}) EXTRACT({brut.apktool.Main cmdDecode(CommandLine)}  {brut.apktool.Main getLastArg(CommandLine)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method cmdEmptyFrameworkDirectory(CommandLine) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:301}	{Method cmdEmptyFrameworkDirectory(CommandLine  Config) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:283}) CHANGE_SIGNATURE({brut.apktool.Main cmdEmptyFrameworkDirectory(CommandLine)}  {brut.apktool.Main cmdEmptyFrameworkDirectory(CommandLine  Config)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method cmdDecode(CommandLine) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:111}	{Method cmdDecode(CommandLine  Config) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:126}) CHANGE_SIGNATURE({brut.apktool.Main cmdDecode(CommandLine)}  {brut.apktool.Main cmdDecode(CommandLine  Config)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decodeRawFiles(ExtFile  File  short) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:151}	{Method decodeRawFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:151}) CHANGE_SIGNATURE({brut.androlib.Androlib decodeRawFiles(ExtFile  File  short)}  {brut.androlib.Androlib decodeRawFiles(ExtFile  File)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,EXTRACT, EXTRACT	{Method cmdPublicizeResources(CommandLine) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:294}	{Method getLastArg(CommandLine) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:290}) EXTRACT({brut.apktool.Main cmdPublicizeResources(CommandLine)}  {brut.apktool.Main getLastArg(CommandLine)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decodeSourcesSmali(File  File  String  boolean  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:93}	{Method decodeSourcesSmali(File  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:92}) CHANGE_SIGNATURE({brut.androlib.Androlib decodeSourcesSmali(File  File  String  boolean  int)}  {brut.androlib.Androlib decodeSourcesSmali(File  File  String)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,RENAME, RENAME	{Method getFrameworkDir() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:952}	{Method getFrameworkDirectory() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:986}) RENAME({brut.androlib.res.AndrolibResources getFrameworkDir()}  {brut.androlib.res.AndrolibResources getFrameworkDirectory()}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method cmdPublicizeResources(CommandLine) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:294}	{Method cmdPublicizeResources(CommandLine  Config) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:278}) CHANGE_SIGNATURE({brut.apktool.Main cmdPublicizeResources(CommandLine)}  {brut.apktool.Main cmdPublicizeResources(CommandLine  Config)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method createDoNotCompressExtensionsFile(BuildOptions) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:301}	{Method createDoNotCompressExtensionsFile(Config) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:335}) CHANGE_SIGNATURE({brut.androlib.res.AndrolibResources createDoNotCompressExtensionsFile(BuildOptions)}  {brut.androlib.res.AndrolibResources createDoNotCompressExtensionsFile(Config)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,MOVE, MOVE	{Method setDecodeResources(short) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:191}	{Method setDecodeResources(short) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Config.java:113}) MOVE({brut.androlib.ApkDecoder setDecodeResources(short)}  {brut.androlib.Config setDecodeResources(short)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,MOVE, MOVE	{Method isAapt2() at brut.apktool/apktool-lib/src/main/java/brut/androlib/options/BuildOptions.java:42}	{Method isAapt2() at brut.apktool/apktool-lib/src/main/java/brut/androlib/Config.java:76}) MOVE({brut.androlib.options.BuildOptions isAapt2()}  {brut.androlib.Config isAapt2()}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:43}	{Method new(ExtFile) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:52}) CHANGE_SIGNATURE({brut.androlib.ApkDecoder new()}  {brut.androlib.ApkDecoder new(ExtFile)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method cmdBuild(CommandLine) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:207}	{Method cmdBuild(CommandLine  Config) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:211}) CHANGE_SIGNATURE({brut.apktool.Main cmdBuild(CommandLine)}  {brut.apktool.Main cmdBuild(CommandLine  Config)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,MOVE, MOVE	{Method setDecodeAssets(short) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:205}	{Method setDecodeAssets(short) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Config.java:127}) MOVE({brut.androlib.ApkDecoder setDecodeAssets(short)}  {brut.androlib.Config setDecodeAssets(short)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method loadFrameworkPkg(ResTable  int  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:106}	{Method loadFrameworkPkg(ResTable  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:140}) CHANGE_SIGNATURE({brut.androlib.res.AndrolibResources loadFrameworkPkg(ResTable  int  String)}  {brut.androlib.res.AndrolibResources loadFrameworkPkg(ResTable  int)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,MOVE, MOVE	{Method setForceDecodeManifest(short) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:198}	{Method setForceDecodeManifest(short) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Config.java:120}) MOVE({brut.androlib.ApkDecoder setForceDecodeManifest(short)}  {brut.androlib.Config setForceDecodeManifest(short)}),
10495cbe966e6fb909324c8abf6148cbb009ed3c,MOVE, MOVE	{Method setDecodeSources(short) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:180}	{Method setDecodeSources(short) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Config.java:102}) MOVE({brut.androlib.ApkDecoder setDecodeSources(short)}  {brut.androlib.Config setDecodeSources(short)}),
70eaab997170217fed67ca541c683061c931e09c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decodeSourcesRaw(ExtFile  File  boolean) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:60}	{Method decodeSourcesRaw(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:61}) CHANGE_SIGNATURE({brut.androlib.Androlib decodeSourcesRaw(ExtFile  File  boolean)}  {brut.androlib.Androlib decodeSourcesRaw(ExtFile  File)}),
70eaab997170217fed67ca541c683061c931e09c,EXTRACT, EXTRACT	{Method decodeSourcesRaw(ExtFile  File  boolean) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:60}	{Method copySourceRaw(ExtFile  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:74}) EXTRACT({brut.androlib.Androlib decodeSourcesRaw(ExtFile  File  boolean)}  {brut.androlib.Androlib copySourceRaw(ExtFile  File  String)}),
59a0d2f09b034b5ee99879b0e9531899c37b8b32,INTERNAL_MOVE, INTERNAL_MOVE	{Method testCaseSensitivity(File) at brut.apktool.smali/util/src/main/java/org/jf/util/ClassFileNameHandler.java:397}	{Method testCaseSensitivity(File) at brut.apktool.smali/util/src/main/java/org/jf/util/ClassFileNameHandler.java:388}) INTERNAL_MOVE({org.jf.util.ClassFileNameHandler VirtualGroupEntry testCaseSensitivity(File)}  {org.jf.util.ClassFileNameHandler DirectoryEntry testCaseSensitivity(File)}),
6a75830a4ff0f9ee6463f7c4e483cc5fb0b35b7d,EXTRACT_MOVE, EXTRACT_MOVE	{Method readConfig() at src/brut/androlib/res/decoder/ARSCDecoder.java:138}	{Method getOrCreateConfig(ResConfigFlags) at src/brut/androlib/res/data/ResPackage.java:87}) EXTRACT_MOVE({brut.androlib.res.decoder.ARSCDecoder readConfig()}  {brut.androlib.res.data.ResPackage getOrCreateConfig(ResConfigFlags)}),
adbde1745f33072c6d993b09e67cc27f1c9df180,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method copyRaw(Directory  Directory  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/decoder/ResFileDecoder.java:147}	{Method copyRaw(Directory  Directory  String  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/decoder/ResFileDecoder.java:147}) CHANGE_SIGNATURE({brut.androlib.res.decoder.ResFileDecoder copyRaw(Directory  Directory  String)}  {brut.androlib.res.decoder.ResFileDecoder copyRaw(Directory  Directory  String  String)}),
19f06fe98dd0a96b6450b23344747a19c3e01147,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method read(IntReader) at src/brut/androlib/res/decoder/StringBlock.java:33}	{Method read(ExtDataInput) at src/brut/androlib/res/decoder/StringBlock.java:34}) CHANGE_SIGNATURE({brut.androlib.res.decoder.StringBlock read(IntReader)}  {brut.androlib.res.decoder.StringBlock read(ExtDataInput)}),
28d4457481e11eb1011922f04138afc98ca8444e,MOVE, MOVE	{Class OutDirExistsException at src/brut/androlib/OutDirExistsException.java:19}	{Class OutDirExistsException at src/brut/androlib/err/OutDirExistsException.java:21}) MOVE({brut.androlib.OutDirExistsException}  {brut.androlib.err.OutDirExistsException}),
282bdae126abc05d12d51b77447ddfda0905b467,EXTRACT, EXTRACT	{Method getResTable(ExtFile) at apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:41}	{Method getResTable(ExtFile  boolean) at apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:45}) EXTRACT({brut.androlib.res.AndrolibResources getResTable(ExtFile)}  {brut.androlib.res.AndrolibResources getResTable(ExtFile  boolean)}),
282bdae126abc05d12d51b77447ddfda0905b467,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(int  String) at apktool-lib/src/main/java/brut/androlib/res/data/value/ResColorValue.java:23}	{Method new(int  String  int) at apktool-lib/src/main/java/brut/androlib/res/data/value/ResColorValue.java:27}) CHANGE_SIGNATURE({brut.androlib.res.data.value.ResColorValue new(int  String)}  {brut.androlib.res.data.value.ResColorValue new(int  String  int)}),
282bdae126abc05d12d51b77447ddfda0905b467,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(int  String) at apktool-lib/src/main/java/brut/androlib/res/data/value/ResIntValue.java:27}	{Method new(int  String  int) at apktool-lib/src/main/java/brut/androlib/res/data/value/ResIntValue.java:29}) CHANGE_SIGNATURE({brut.androlib.res.data.value.ResIntValue new(int  String)}  {brut.androlib.res.data.value.ResIntValue new(int  String  int)}),
ab7998439e7d1bfe6debf634a57715c156f30e0b,PULL_UP, PULL_UP	{Method loadDocument(File) at brut.apktool/apktool-lib/src/test/java/brut/androlib/aapt2/NoNetworkConfigTest.java:107}	{Method loadDocument(File) at brut.apktool/apktool-lib/src/test/java/brut/androlib/BaseTest.java:135}) PULL_UP({brut.androlib.aapt2.NoNetworkConfigTest loadDocument(File)}  {brut.androlib.BaseTest loadDocument(File)}),
ab7998439e7d1bfe6debf634a57715c156f30e0b,PULL_UP, PULL_UP	{Method loadDocument(File) at brut.apktool/apktool-lib/src/test/java/brut/androlib/aapt2/NetworkConfigTest.java:104}	{Method loadDocument(File) at brut.apktool/apktool-lib/src/test/java/brut/androlib/BaseTest.java:135}) PULL_UP({brut.androlib.aapt2.NetworkConfigTest loadDocument(File)}  {brut.androlib.BaseTest loadDocument(File)}),
ca314b9aaed6a6bac28dbb7d4c7b995728eaac81,EXTRACT, EXTRACT	{Method getString(int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/decoder/StringBlock.java:90}	{Method getUtf8(byte[]  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/decoder/StringBlock.java:299}) EXTRACT({brut.androlib.res.decoder.StringBlock getString(int)}  {brut.androlib.res.decoder.StringBlock getUtf8(byte[]  int)}),
89ef73b927d64cadd8a724a6e26f290223ea1966,RENAME, RENAME	{Method getSortedInterfaces(ClassKey) at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/writer/ClassSection.java:56}	{Method getInterfaces(ClassKey) at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/writer/ClassSection.java:56}) RENAME({org.jf.dexlib2.writer.ClassSection getSortedInterfaces(ClassKey)}  {org.jf.dexlib2.writer.ClassSection getInterfaces(ClassKey)}),
89ef73b927d64cadd8a724a6e26f290223ea1966,RENAME, RENAME	{Method getSortedInterfaces(PoolClassDef) at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/writer/pool/ClassPool.java:253}	{Method getInterfaces(PoolClassDef) at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/writer/pool/ClassPool.java:253}) RENAME({org.jf.dexlib2.writer.pool.ClassPool getSortedInterfaces(PoolClassDef)}  {org.jf.dexlib2.writer.pool.ClassPool getInterfaces(PoolClassDef)}),
89ef73b927d64cadd8a724a6e26f290223ea1966,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(String  int  String  ImmutableSet  String  ImmutableSet  ImmutableSortedSet  ImmutableSortedSet  ImmutableSortedSet  ImmutableSortedSet) at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/immutable/ImmutableClassDef.java:112}	{Method new(String  int  String  ImmutableList  String  ImmutableSet  ImmutableSortedSet  ImmutableSortedSet  ImmutableSortedSet  ImmutableSortedSet) at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/immutable/ImmutableClassDef.java:113}) CHANGE_SIGNATURE({org.jf.dexlib2.immutable.ImmutableClassDef new(String  int  String  ImmutableSet  String  ImmutableSet  ImmutableSortedSet  ImmutableSortedSet  ImmutableSortedSet  ImmutableSortedSet)}  {org.jf.dexlib2.immutable.ImmutableClassDef new(String  int  String  ImmutableList  String  ImmutableSet  ImmutableSortedSet  ImmutableSortedSet  ImmutableSortedSet  ImmutableSortedSet)}),
89ef73b927d64cadd8a724a6e26f290223ea1966,RENAME, RENAME	{Method getSortedInterfaces(BuilderClassDef) at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/writer/builder/BuilderClassPool.java:125}	{Method getInterfaces(BuilderClassDef) at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/writer/builder/BuilderClassPool.java:125}) RENAME({org.jf.dexlib2.writer.builder.BuilderClassPool getSortedInterfaces(BuilderClassDef)}  {org.jf.dexlib2.writer.builder.BuilderClassPool getInterfaces(BuilderClassDef)}),
43b28c7ee552453416404f941cd5c48cbe343621,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decodeResourcesFull(File  File  ResTable) at src/brut/androlib/Androlib.java:169}	{Method decodeResourcesFull(ExtFile  File  ResTable) at src/brut/androlib/Androlib.java:169}) CHANGE_SIGNATURE({brut.androlib.Androlib decodeResourcesFull(File  File  ResTable)}  {brut.androlib.Androlib decodeResourcesFull(ExtFile  File  ResTable)}),
43b28c7ee552453416404f941cd5c48cbe343621,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decode(ResTable  File  File) at src/brut/androlib/res/AndrolibResources.java:46}	{Method decode(ResTable  ExtFile  File) at src/brut/androlib/res/AndrolibResources.java:46}) CHANGE_SIGNATURE({brut.androlib.res.AndrolibResources decode(ResTable  File  File)}  {brut.androlib.res.AndrolibResources decode(ResTable  ExtFile  File)}),
8d0801e6db80e2d23fc07f9b03d9606603686a74,EXTRACT, EXTRACT	{Method remove_application_debug(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:153}	{Method loadDocument(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:238}) EXTRACT({brut.androlib.res.AndrolibResources remove_application_debug(String)}  {brut.androlib.res.AndrolibResources loadDocument(String)}),
