Hash,Refatoração,Descrição
2e45264fb89f009f7e31c9b36f6e39c1de5fb471,EXTRACT, EXTRACT	{Method inspectObject(Object  int) at core/src/test/java/com/taobao/arthas/core/model/ObjectRenderTest.java:490}	{Method newInspector() at core/src/test/java/com/taobao/arthas/core/model/ObjectRenderTest.java:615}) EXTRACT({com.taobao.arthas.core.model.ObjectRenderTest inspectObject(Object  int)}  {com.taobao.arthas.core.model.ObjectRenderTest newInspector()}),
8d88d2bff5dd0c73ef6fedad097c50c378fd8b3e,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method renderTree(List) at core/src/main/java/com/taobao/arthas/core/command/view/ClassLoaderView.java:120}	{Method renderTree(Collection) at core/src/main/java/com/taobao/arthas/core/command/view/ClassLoaderView.java:121}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.view.ClassLoaderView renderTree(List)}  {com.taobao.arthas.core.command.view.ClassLoaderView renderTree(Collection)}),
8d88d2bff5dd0c73ef6fedad097c50c378fd8b3e,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method renderTable(List) at core/src/main/java/com/taobao/arthas/core/command/view/ClassLoaderView.java:110}	{Method renderTable(Collection) at core/src/main/java/com/taobao/arthas/core/command/view/ClassLoaderView.java:111}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.view.ClassLoaderView renderTable(List)}  {com.taobao.arthas.core.command.view.ClassLoaderView renderTable(Collection)}),
62b9e8278ba5627169ac10c6fbba1b5a7b40eb1f,PULL_UP_SIGNATURE, PULL_UP_SIGNATURE	{Method removeSession(String) at core/src/main/java/com/taobao/arthas/core/shell/session/impl/SessionManagerImpl.java:72}	{Method removeSession(String) at core/src/main/java/com/taobao/arthas/core/shell/session/SessionManager.java:18}) PULL_UP_SIGNATURE({com.taobao.arthas.core.shell.session.impl.SessionManagerImpl removeSession(String)}  {com.taobao.arthas.core.shell.session.SessionManager removeSession(String)}),
927adc9ab5b5d5cd2975bcfe442c66b872d214f0,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(URI  URI  EventLoopGroup) at tunnel-client/src/main/java/com/alibaba/arthas/tunnel/client/ForwardClient.java:42}	{Method new(URI  URI) at tunnel-client/src/main/java/com/alibaba/arthas/tunnel/client/ForwardClient.java:43}) CHANGE_SIGNATURE({com.alibaba.arthas.tunnel.client.ForwardClient new(URI  URI  EventLoopGroup)}  {com.alibaba.arthas.tunnel.client.ForwardClient new(URI  URI)}),
503e0de6b4328d8541aaabbb233bff43f7563276,EXTRACT, EXTRACT	{Method sample(Collection) at core/src/main/java/com/taobao/arthas/core/command/monitor200/ThreadSampler.java:18}	{Method createThreadVO(String) at core/src/main/java/com/taobao/arthas/core/command/monitor200/ThreadSampler.java:171}) EXTRACT({com.taobao.arthas.core.command.monitor200.ThreadSampler sample(Collection)}  {com.taobao.arthas.core.command.monitor200.ThreadSampler createThreadVO(String)}),
503e0de6b4328d8541aaabbb233bff43f7563276,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method drawMemoryInfo(TableElement  Map) at core/src/main/java/com/taobao/arthas/core/command/view/DashboardView.java:61}	{Method drawMemoryInfo(Map) at core/src/main/java/com/taobao/arthas/core/command/view/DashboardView.java:82}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.view.DashboardView drawMemoryInfo(TableElement  Map)}  {com.taobao.arthas.core.command.view.DashboardView drawMemoryInfo(Map)}),
503e0de6b4328d8541aaabbb233bff43f7563276,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method drawRuntimeInfoAndTomcatInfo(RuntimeInfoVO  TomcatInfoVO  int  int) at core/src/main/java/com/taobao/arthas/core/command/view/DashboardView.java:97}	{Method drawRuntimeInfoAndTomcatInfo(TableElement  TableElement  int  int) at core/src/main/java/com/taobao/arthas/core/command/view/DashboardView.java:135}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.view.DashboardView drawRuntimeInfoAndTomcatInfo(RuntimeInfoVO  TomcatInfoVO  int  int)}  {com.taobao.arthas.core.command.view.DashboardView drawRuntimeInfoAndTomcatInfo(TableElement  TableElement  int  int)}),
503e0de6b4328d8541aaabbb233bff43f7563276,EXTRACT, EXTRACT	{Method processTopBusyThreads(CommandProcess) at core/src/main/java/com/taobao/arthas/core/command/monitor200/ThreadCommand.java:173}	{Method findThreadInfoById(ThreadInfo[]  long) at core/src/main/java/com/taobao/arthas/core/command/monitor200/ThreadCommand.java:215}) EXTRACT({com.taobao.arthas.core.command.monitor200.ThreadCommand processTopBusyThreads(CommandProcess)}  {com.taobao.arthas.core.command.monitor200.ThreadCommand findThreadInfoById(ThreadInfo[]  long)}),
503e0de6b4328d8541aaabbb233bff43f7563276,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getFullStacktrace(ThreadInfo  long) at core/src/main/java/com/taobao/arthas/core/util/ThreadUtil.java:236}	{Method getFullStacktrace(ThreadInfo) at core/src/main/java/com/taobao/arthas/core/util/ThreadUtil.java:169}) CHANGE_SIGNATURE({com.taobao.arthas.core.util.ThreadUtil getFullStacktrace(ThreadInfo  long)}  {com.taobao.arthas.core.util.ThreadUtil getFullStacktrace(ThreadInfo)}),
503e0de6b4328d8541aaabbb233bff43f7563276,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(List  Map) at core/src/main/java/com/taobao/arthas/core/command/model/ThreadModel.java:42}	{Method new(List  Map  boolean) at core/src/main/java/com/taobao/arthas/core/command/model/ThreadModel.java:43}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.model.ThreadModel new(List  Map)}  {com.taobao.arthas.core.command.model.ThreadModel new(List  Map  boolean)}),
