Hash,Refatoração,Descrição
aeeda4202797a83d950db4c1a31656f60738648f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildContext(String) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:182}	{Method buildContext(String  CompressorType) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:197}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String)}  {io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String  CompressorType)}),
4dd9f69f5f1a242b0bb0f21767cf104596dc6dbf,RENAME, RENAME	{Class SeataClientPropertiesAutoConfiguration at seata-spring-autoconfigure/seata-spring-autoconfigure-client/src/main/java/io/seata/spring/boot/autoconfigure/SeataClientPropertiesAutoConfiguration.java:41}	{Class SeataClientEnvironmentPostProcessor at seata-spring-autoconfigure/seata-spring-autoconfigure-client/src/main/java/io/seata/spring/boot/autoconfigure/SeataClientEnvironmentPostProcessor.java:41}) RENAME({io.seata.spring.boot.autoconfigure.SeataClientPropertiesAutoConfiguration}  {io.seata.spring.boot.autoconfigure.SeataClientEnvironmentPostProcessor}),
196caaecea3cb497dc5c2e4398f152bbfeded2f5,MOVE, MOVE	{Class IdWorker at core/src/main/java/io/seata/core/util/IdWorker.java:20}	{Class IdWorker at common/src/main/java/io/seata/common/util/IdWorker.java:20}) MOVE({io.seata.core.util.IdWorker}  {io.seata.common.util.IdWorker}),
960f1d33b1a7137e3d84b17aa8c93391f6955180,EXTRACT, EXTRACT	{Method buildUndoItemAll(ConnectionProxy  TableRecords  TableRecords) at rm-datasource/src/main/java/io/seata/rm/datasource/exec/mysql/MySQLInsertOnDuplicateUpdateExecutor.java:134}	{Method getUpdateAndInsertRow(TableRecords  TableRecords) at rm-datasource/src/main/java/io/seata/rm/datasource/exec/mysql/MySQLInsertOnDuplicateUpdateExecutor.java:176}) EXTRACT({io.seata.rm.datasource.exec.mysql.MySQLInsertOnDuplicateUpdateExecutor buildUndoItemAll(ConnectionProxy  TableRecords  TableRecords)}  {io.seata.rm.datasource.exec.mysql.MySQLInsertOnDuplicateUpdateExecutor getUpdateAndInsertRow(TableRecords  TableRecords)}),
960f1d33b1a7137e3d84b17aa8c93391f6955180,RENAME, RENAME	{Method getParamAppenderList() at rm-datasource/src/main/java/io/seata/rm/datasource/exec/mysql/MySQLInsertOnDuplicateUpdateExecutor.java:78}	{Method getParamAppenderMap() at rm-datasource/src/main/java/io/seata/rm/datasource/exec/mysql/MySQLInsertOnDuplicateUpdateExecutor.java:86}) RENAME({io.seata.rm.datasource.exec.mysql.MySQLInsertOnDuplicateUpdateExecutor getParamAppenderList()}  {io.seata.rm.datasource.exec.mysql.MySQLInsertOnDuplicateUpdateExecutor getParamAppenderMap()}),
7c9a875e77e26b37c791dba6fad32683b7a259b0,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getCheckLockableSql(String  String) at core/src/main/java/io/seata/core/store/db/sql/lock/LockStoreSql.java:85}	{Method getCheckLockableSql(String  int) at core/src/main/java/io/seata/core/store/db/sql/lock/LockStoreSql.java:85}) CHANGE_SIGNATURE({io.seata.core.store.db.sql.lock.LockStoreSql getCheckLockableSql(String  String)}  {io.seata.core.store.db.sql.lock.LockStoreSql getCheckLockableSql(String  int)}),
7c9a875e77e26b37c791dba6fad32683b7a259b0,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getBatchDeleteLockSqlByBranchs(String  String) at core/src/main/java/io/seata/core/store/db/sql/lock/LockStoreSql.java:68}	{Method getBatchDeleteLockSqlByBranchs(String  int) at core/src/main/java/io/seata/core/store/db/sql/lock/LockStoreSql.java:68}) CHANGE_SIGNATURE({io.seata.core.store.db.sql.lock.LockStoreSql getBatchDeleteLockSqlByBranchs(String  String)}  {io.seata.core.store.db.sql.lock.LockStoreSql getBatchDeleteLockSqlByBranchs(String  int)}),
7c9a875e77e26b37c791dba6fad32683b7a259b0,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getBatchDeleteLockSql(String  String) at core/src/main/java/io/seata/core/store/db/sql/lock/LockStoreSql.java:51}	{Method getBatchDeleteLockSql(String  int) at core/src/main/java/io/seata/core/store/db/sql/lock/LockStoreSql.java:51}) CHANGE_SIGNATURE({io.seata.core.store.db.sql.lock.LockStoreSql getBatchDeleteLockSql(String  String)}  {io.seata.core.store.db.sql.lock.LockStoreSql getBatchDeleteLockSql(String  int)}),
b1a19a3a90c0792d64bcdafa6a5aced1b9401a95,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method begin(int  String) at tm/src/main/java/io/seata/tm/api/DefaultGlobalTransaction.java:89}	{Method begin(int  String  BranchType) at tm/src/main/java/io/seata/tm/api/DefaultGlobalTransaction.java:92}) CHANGE_SIGNATURE({io.seata.tm.api.DefaultGlobalTransaction begin(int  String)}  {io.seata.tm.api.DefaultGlobalTransaction begin(int  String  BranchType)}),
b1a19a3a90c0792d64bcdafa6a5aced1b9401a95,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method begin(int  String) at tm/src/main/java/io/seata/tm/api/GlobalTransaction.java:45}	{Method begin(int  String  BranchType) at tm/src/main/java/io/seata/tm/api/GlobalTransaction.java:46}) CHANGE_SIGNATURE({io.seata.tm.api.GlobalTransaction begin(int  String)}  {io.seata.tm.api.GlobalTransaction begin(int  String  BranchType)}),
b1a19a3a90c0792d64bcdafa6a5aced1b9401a95,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method begin(int  String) at test/src/test/java/io/seata/saga/engine/mock/MockGlobalTransaction.java:56}	{Method begin(int  String  BranchType) at test/src/test/java/io/seata/saga/engine/mock/MockGlobalTransaction.java:57}) CHANGE_SIGNATURE({io.seata.saga.engine.mock.MockGlobalTransaction begin(int  String)}  {io.seata.saga.engine.mock.MockGlobalTransaction begin(int  String  BranchType)}),
