Hash,Refatoração,Descrição
aeeda4202797a83d950db4c1a31656f60738648f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildContext(String) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:182}	{Method buildContext(String  CompressorType) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:197}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String)}  {io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String  CompressorType)}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class TmRpcClientTest at core/src/test/java/com/alibaba/fescar/core/rpc/netty/TmRpcClientTest.java:34}	{Class TmRpcClientTest at core/src/test/java/io/seata/core/rpc/netty/TmRpcClientTest.java:34}) MOVE({com.alibaba.fescar.core.rpc.netty.TmRpcClientTest}  {io.seata.core.rpc.netty.TmRpcClientTest}),
a39b943887a23f2faf925e72d475e097de32a84b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(SessionStorable  LogOperation  long) at server/src/main/java/com/alibaba/fescar/server/store/TransactionWriteFuture.java:55}	{Method new(SessionStorable  TransactionStoreManager.LogOperation  long) at server/src/main/java/io/seata/server/store/TransactionWriteFuture.java:53}) CHANGE_SIGNATURE({com.alibaba.fescar.server.store.TransactionWriteFuture new(SessionStorable  LogOperation  long)}  {io.seata.server.store.TransactionWriteFuture new(SessionStorable  TransactionStoreManager.LogOperation  long)}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class ReflectionUtil at common/src/main/java/com/alibaba/fescar/common/util/ReflectionUtil.java:26}	{Class ReflectionUtil at common/src/main/java/io/seata/common/util/ReflectionUtil.java:26}) MOVE({com.alibaba.fescar.common.util.ReflectionUtil}  {io.seata.common.util.ReflectionUtil}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class DataSourceManager at rm-datasource/src/main/java/com/alibaba/fescar/rm/datasource/DataSourceManager.java:53}	{Class DataSourceManager at rm-datasource/src/main/java/io/seata/rm/datasource/DataSourceManager.java:54}) MOVE({com.alibaba.fescar.rm.datasource.DataSourceManager}  {io.seata.rm.datasource.DataSourceManager}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class AbstractRMHandler at rm/src/main/java/com/alibaba/fescar/rm/AbstractRMHandler.java:39}	{Class AbstractRMHandler at rm/src/main/java/io/seata/rm/AbstractRMHandler.java:39}) MOVE({com.alibaba.fescar.rm.AbstractRMHandler}  {io.seata.rm.AbstractRMHandler}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Interface WhereRecognizer at rm-datasource/src/main/java/com/alibaba/fescar/rm/datasource/sql/WhereRecognizer.java:23}	{Interface WhereRecognizer at rm-datasource/src/main/java/io/seata/rm/datasource/sql/WhereRecognizer.java:24}) MOVE({com.alibaba.fescar.rm.datasource.sql.WhereRecognizer}  {io.seata.rm.datasource.sql.WhereRecognizer}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class TransactionHookManager at tm/src/main/java/com/alibaba/fescar/tm/api/transaction/TransactionHookManager.java:22}	{Class TransactionHookManager at tm/src/main/java/io/seata/tm/api/transaction/TransactionHookManager.java:22}) MOVE({com.alibaba.fescar.tm.api.transaction.TransactionHookManager}  {io.seata.tm.api.transaction.TransactionHookManager}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class ZookeeperConfiguration at config/fescar-config-zk/src/main/java/com/alibaba/fescar/config/zk/ZookeeperConfiguration.java:42}	{Class ZookeeperConfiguration at config/seata-config-zk/src/main/java/io/seata/config/zk/ZookeeperConfiguration.java:42}) MOVE({com.alibaba.fescar.config.zk.ZookeeperConfiguration}  {io.seata.config.zk.ZookeeperConfiguration}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class NacosConfiguration at config/fescar-config-nacos/src/main/java/com/alibaba/fescar/config/nacos/NacosConfiguration.java:35}	{Class NacosConfiguration at config/seata-config-nacos/src/main/java/io/seata/config/nacos/NacosConfiguration.java:35}) MOVE({com.alibaba.fescar.config.nacos.NacosConfiguration}  {io.seata.config.nacos.NacosConfiguration}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class LockConflictException at rm-datasource/src/main/java/com/alibaba/fescar/rm/datasource/exec/LockConflictException.java:21}	{Class LockConflictException at rm-datasource/src/main/java/io/seata/rm/datasource/exec/LockConflictException.java:21}) MOVE({com.alibaba.fescar.rm.datasource.exec.LockConflictException}  {io.seata.rm.datasource.exec.LockConflictException}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class ShutdownHook at core/src/main/java/com/alibaba/fescar/core/rpc/netty/ShutdownHook.java:28}	{Class ShutdownHook at core/src/main/java/io/seata/core/rpc/netty/ShutdownHook.java:28}) MOVE({com.alibaba.fescar.core.rpc.netty.ShutdownHook}  {io.seata.core.rpc.netty.ShutdownHook}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class BusinessActionContext at tcc/src/main/java/com/alibaba/fescar/rm/tcc/api/BusinessActionContext.java:22}	{Class BusinessActionContext at tcc/src/main/java/io/seata/rm/tcc/api/BusinessActionContext.java:22}) MOVE({com.alibaba.fescar.rm.tcc.api.BusinessActionContext}  {io.seata.rm.tcc.api.BusinessActionContext}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class TransactionHookManagerTest at tm/src/test/java/com/alibaba/fescar/tm/api/transaction/TransactionHookManagerTest.java:25}	{Class TransactionHookManagerTest at tm/src/test/java/io/seata/tm/api/transaction/TransactionHookManagerTest.java:25}) MOVE({com.alibaba.fescar.tm.api.transaction.TransactionHookManagerTest}  {io.seata.tm.api.transaction.TransactionHookManagerTest}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class RootContextTest at core/src/test/java/com/alibaba/fescar/core/context/RootContextTest.java:24}	{Class RootContextTest at core/src/test/java/io/seata/core/context/RootContextTest.java:24}) MOVE({com.alibaba.fescar.core.context.RootContextTest}  {io.seata.core.context.RootContextTest}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Interface ServerMessageSender at core/src/main/java/com/alibaba/fescar/core/rpc/ServerMessageSender.java:24}	{Interface ServerMessageSender at core/src/main/java/io/seata/core/rpc/ServerMessageSender.java:24}) MOVE({com.alibaba.fescar.core.rpc.ServerMessageSender}  {io.seata.core.rpc.ServerMessageSender}),
a39b943887a23f2faf925e72d475e097de32a84b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method isResponseSuccess(Object  TransactionRole) at core/src/main/java/com/alibaba/fescar/core/rpc/netty/NettyPoolableFactory.java:91}	{Method isResponseSuccess(Object  NettyPoolKey.TransactionRole) at core/src/main/java/io/seata/core/rpc/netty/NettyPoolableFactory.java:91}) CHANGE_SIGNATURE({com.alibaba.fescar.core.rpc.netty.NettyPoolableFactory isResponseSuccess(Object  TransactionRole)}  {io.seata.core.rpc.netty.NettyPoolableFactory isResponseSuccess(Object  NettyPoolKey.TransactionRole)}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class BranchSession at server/src/main/java/com/alibaba/fescar/server/session/BranchSession.java:38}	{Class BranchSession at server/src/main/java/io/seata/server/session/BranchSession.java:36}) MOVE({com.alibaba.fescar.server.session.BranchSession}  {io.seata.server.session.BranchSession}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class DefaultFailureHandlerImpl at tm/src/main/java/com/alibaba/fescar/tm/api/DefaultFailureHandlerImpl.java:22}	{Class DefaultFailureHandlerImpl at tm/src/main/java/io/seata/tm/api/DefaultFailureHandlerImpl.java:22}) MOVE({com.alibaba.fescar.tm.api.DefaultFailureHandlerImpl}  {io.seata.tm.api.DefaultFailureHandlerImpl}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class MySQLKeywordCheckerTest at rm-datasource/src/test/java/com/alibaba/fescar/rm/datasource/undo/mysql/keyword/MySQLKeywordCheckerTest.java:38}	{Class MySQLKeywordCheckerTest at rm-datasource/src/test/java/io/seata/rm/datasource/undo/mysql/keyword/MySQLKeywordCheckerTest.java:39}) MOVE({com.alibaba.fescar.rm.datasource.undo.mysql.keyword.MySQLKeywordCheckerTest}  {io.seata.rm.datasource.undo.mysql.keyword.MySQLKeywordCheckerTest}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Interface ActionContextFilter at tcc/src/main/java/com/alibaba/fescar/rm/tcc/interceptor/ActionContextFilter.java:21}	{Interface ActionContextFilter at tcc/src/main/java/io/seata/rm/tcc/interceptor/ActionContextFilter.java:21}) MOVE({com.alibaba.fescar.rm.tcc.interceptor.ActionContextFilter}  {io.seata.rm.tcc.interceptor.ActionContextFilter}),
a39b943887a23f2faf925e72d475e097de32a84b,MOVE, MOVE	{Class RejectedPolicies at common/src/main/java/com/alibaba/fescar/common/thread/RejectedPolicies.java:23}	{Class RejectedPolicies at common/src/main/java/io/seata/common/thread/RejectedPolicies.java:23}) MOVE({com.alibaba.fescar.common.thread.RejectedPolicies}  {io.seata.common.thread.RejectedPolicies}),
beb7a4eff40916c307af8e1270b9fe3d75a7e636,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method updateClusterAddressMap(Jedis  String) at discovery/seata-discovery-redis/src/main/java/io/seata/discovery/registry/redis/RedisRegistryServiceImpl.java:289}	{Method updateClusterAddressMap(Jedis  String  String) at discovery/seata-discovery-redis/src/main/java/io/seata/discovery/registry/redis/RedisRegistryServiceImpl.java:289}) CHANGE_SIGNATURE({io.seata.discovery.registry.redis.RedisRegistryServiceImpl updateClusterAddressMap(Jedis  String)}  {io.seata.discovery.registry.redis.RedisRegistryServiceImpl updateClusterAddressMap(Jedis  String  String)}),
18d8905bf5b90d1649d88f47d4b8da4a038ff094,MOVE, MOVE	{Class TableMeta at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/TableMeta.java:31}	{Class TableMeta at sqlparser/seata-sqlparser-core/src/main/java/io/seata/sqlparser/struct/TableMeta.java:31}) MOVE({io.seata.rm.datasource.sql.struct.TableMeta}  {io.seata.sqlparser.struct.TableMeta}),
18d8905bf5b90d1649d88f47d4b8da4a038ff094,EXTRACT, EXTRACT	{Method addEscape(String  String) at sqlparser/seata-sqlparser-core/src/main/java/io/seata/sqlparser/util/ColumnUtils.java:95}	{Method addEscape(String  String  TableMeta) at sqlparser/seata-sqlparser-core/src/main/java/io/seata/sqlparser/util/ColumnUtils.java:107}) EXTRACT({io.seata.sqlparser.util.ColumnUtils addEscape(String  String)}  {io.seata.sqlparser.util.ColumnUtils addEscape(String  String  TableMeta)}),
18d8905bf5b90d1649d88f47d4b8da4a038ff094,MOVE, MOVE	{Class ColumnMeta at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/ColumnMeta.java:20}	{Class ColumnMeta at sqlparser/seata-sqlparser-core/src/main/java/io/seata/sqlparser/struct/ColumnMeta.java:20}) MOVE({io.seata.rm.datasource.sql.struct.ColumnMeta}  {io.seata.sqlparser.struct.ColumnMeta}),
18d8905bf5b90d1649d88f47d4b8da4a038ff094,EXTRACT, EXTRACT	{Method addColNameEscape(String) at sqlparser/seata-sqlparser-core/src/main/java/io/seata/sqlparser/EscapeHandler.java:61}	{Method addColNameEscape(String  TableMeta) at sqlparser/seata-sqlparser-core/src/main/java/io/seata/sqlparser/EscapeHandler.java:72}) EXTRACT({io.seata.sqlparser.EscapeHandler addColNameEscape(String)}  {io.seata.sqlparser.EscapeHandler addColNameEscape(String  TableMeta)}),
18d8905bf5b90d1649d88f47d4b8da4a038ff094,MOVE, MOVE	{Interface TableMetaCache at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/TableMetaCache.java:20}	{Interface TableMetaCache at sqlparser/seata-sqlparser-core/src/main/java/io/seata/sqlparser/struct/TableMetaCache.java:20}) MOVE({io.seata.rm.datasource.sql.struct.TableMetaCache}  {io.seata.sqlparser.struct.TableMetaCache}),
18d8905bf5b90d1649d88f47d4b8da4a038ff094,MOVE, MOVE	{Class IndexMeta at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/IndexMeta.java:24}	{Class IndexMeta at sqlparser/seata-sqlparser-core/src/main/java/io/seata/sqlparser/struct/IndexMeta.java:24}) MOVE({io.seata.rm.datasource.sql.struct.IndexMeta}  {io.seata.sqlparser.struct.IndexMeta}),
18d8905bf5b90d1649d88f47d4b8da4a038ff094,MOVE, MOVE	{Enum IndexType at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/IndexType.java:18}	{Enum IndexType at sqlparser/seata-sqlparser-core/src/main/java/io/seata/sqlparser/struct/IndexType.java:18}) MOVE({io.seata.rm.datasource.sql.struct.IndexType}  {io.seata.sqlparser.struct.IndexType}),
0d7e5dc32d59804a4350b06a1188055e6cb7e2a8,EXTRACT, EXTRACT	{Method recordStateMachineStarted(StateMachineInstance  ProcessContext) at saga/seata-saga-engine-store/src/main/java/io/seata/saga/engine/store/db/DbAndReportTcStateLogStore.java:91}	{Method clearUp() at saga/seata-saga-engine-store/src/main/java/io/seata/saga/engine/store/db/DbAndReportTcStateLogStore.java:730}) EXTRACT({io.seata.saga.engine.store.db.DbAndReportTcStateLogStore recordStateMachineStarted(StateMachineInstance  ProcessContext)}  {io.seata.saga.engine.store.db.DbAndReportTcStateLogStore clearUp()}),
ff90eb36108890ea3d27567cc54a40e643f13b76,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(Watch.Listener) at discovery/seata-discovery-etcd3/src/main/java/io/seata/discovery/registry/etcd3/EtcdRegistryServiceImpl.java:394}	{Method new(String  Watch.Listener) at discovery/seata-discovery-etcd3/src/main/java/io/seata/discovery/registry/etcd3/EtcdRegistryServiceImpl.java:396}) CHANGE_SIGNATURE({io.seata.discovery.registry.etcd3.EtcdRegistryServiceImpl EtcdWatcher new(Watch.Listener)}  {io.seata.discovery.registry.etcd3.EtcdRegistryServiceImpl EtcdWatcher new(String  Watch.Listener)}),
41ff685c7ebdeaf6b0696a9410c4fc415da674d2,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(String) at tm/src/main/java/com/alibaba/fescar/tm/api/DefaultGlobalTransaction.java:55}	{Method new(String  GlobalStatus  GlobalTransactionRole) at tm/src/main/java/com/alibaba/fescar/tm/api/DefaultGlobalTransaction.java:55}) CHANGE_SIGNATURE({com.alibaba.fescar.tm.api.DefaultGlobalTransaction new(String)}  {com.alibaba.fescar.tm.api.DefaultGlobalTransaction new(String  GlobalStatus  GlobalTransactionRole)}),
b0dab9c62f95ea90c99f311c16c97315db12056a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setResources(Resource[]) at saga/seata-saga-engine/src/main/java/io/seata/saga/engine/impl/DefaultStateMachineConfig.java:430}	{Method setResources(String[]) at saga/seata-saga-engine/src/main/java/io/seata/saga/engine/impl/DefaultStateMachineConfig.java:438}) CHANGE_SIGNATURE({io.seata.saga.engine.impl.DefaultStateMachineConfig setResources(Resource[])}  {io.seata.saga.engine.impl.DefaultStateMachineConfig setResources(String[])}),
866ef335e77c893e094059e6e9ec9aeae0661534,EXTRACT, EXTRACT	{Method rollback() at rm-datasource/src/main/java/io/seata/rm/datasource/xa/ConnectionProxyXA.java:232}	{Method reportStatusToTC(BranchStatus) at rm-datasource/src/main/java/io/seata/rm/datasource/xa/ConnectionProxyXA.java:353}) EXTRACT({io.seata.rm.datasource.xa.ConnectionProxyXA rollback()}  {io.seata.rm.datasource.xa.ConnectionProxyXA reportStatusToTC(BranchStatus)}),
866ef335e77c893e094059e6e9ec9aeae0661534,EXTRACT, EXTRACT	{Method commit() at rm-datasource/src/main/java/io/seata/rm/datasource/xa/ConnectionProxyXA.java:198}	{Method reportStatusToTC(BranchStatus) at rm-datasource/src/main/java/io/seata/rm/datasource/xa/ConnectionProxyXA.java:353}) EXTRACT({io.seata.rm.datasource.xa.ConnectionProxyXA commit()}  {io.seata.rm.datasource.xa.ConnectionProxyXA reportStatusToTC(BranchStatus)}),
a986644af2da27815cdca25828a3a41e943d953a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setLogSaveDays(Integer) at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/properties/server/ServerUndoProperties.java:36}	{Method setLogSaveDays(int) at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/properties/server/ServerUndoProperties.java:38}) CHANGE_SIGNATURE({io.seata.spring.boot.autoconfigure.properties.server.ServerUndoProperties setLogSaveDays(Integer)}  {io.seata.spring.boot.autoconfigure.properties.server.ServerUndoProperties setLogSaveDays(int)}),
a986644af2da27815cdca25828a3a41e943d953a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setExporterPrometheusPort(Integer) at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/properties/server/MetricsProperties.java:66}	{Method setExporterPrometheusPort(int) at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/properties/server/MetricsProperties.java:70}) CHANGE_SIGNATURE({io.seata.spring.boot.autoconfigure.properties.server.MetricsProperties setExporterPrometheusPort(Integer)}  {io.seata.spring.boot.autoconfigure.properties.server.MetricsProperties setExporterPrometheusPort(int)}),
a986644af2da27815cdca25828a3a41e943d953a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setEnabled(Boolean) at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/properties/server/MetricsProperties.java:39}	{Method setEnabled(boolean) at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/properties/server/MetricsProperties.java:43}) CHANGE_SIGNATURE({io.seata.spring.boot.autoconfigure.properties.server.MetricsProperties setEnabled(Boolean)}  {io.seata.spring.boot.autoconfigure.properties.server.MetricsProperties setEnabled(boolean)}),
a986644af2da27815cdca25828a3a41e943d953a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setLogDeletePeriod(Long) at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/properties/server/ServerUndoProperties.java:45}	{Method setLogDeletePeriod(long) at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/properties/server/ServerUndoProperties.java:47}) CHANGE_SIGNATURE({io.seata.spring.boot.autoconfigure.properties.server.ServerUndoProperties setLogDeletePeriod(Long)}  {io.seata.spring.boot.autoconfigure.properties.server.ServerUndoProperties setLogDeletePeriod(long)}),
104a168859ebd379eb8a141fb601558af582286e,EXTRACT, EXTRACT	{Method lookup(String) at discovery/seata-discovery-zk/src/main/java/io/seata/discovery/registry/zk/ZookeeperRegisterServiceImpl.java:157}	{Method doLookup(String) at discovery/seata-discovery-zk/src/main/java/io/seata/discovery/registry/zk/ZookeeperRegisterServiceImpl.java:185}) EXTRACT({io.seata.discovery.registry.zk.ZookeeperRegisterServiceImpl lookup(String)}  {io.seata.discovery.registry.zk.ZookeeperRegisterServiceImpl doLookup(String)}),
104a168859ebd379eb8a141fb601558af582286e,EXTRACT, EXTRACT	{Method getClientInstance() at discovery/seata-discovery-zk/src/main/java/io/seata/discovery/registry/zk/ZookeeperRegisterServiceImpl.java:189}	{Method buildZkClient(String  int  int) at discovery/seata-discovery-zk/src/main/java/io/seata/discovery/registry/zk/ZookeeperRegisterServiceImpl.java:219}) EXTRACT({io.seata.discovery.registry.zk.ZookeeperRegisterServiceImpl getClientInstance()}  {io.seata.discovery.registry.zk.ZookeeperRegisterServiceImpl buildZkClient(String  int  int)}),
58a6c36bc3801d0d186a38faa2c28192ead3fb82,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(Object[][]  Object[][]  Object[][]) at rm-datasource/src/test/java/io/seata/rm/datasource/mock/MockDriver.java:60}	{Method new(List  Object[][]  Object[][]  Object[][]) at rm-datasource/src/test/java/io/seata/rm/datasource/mock/MockDriver.java:67}) CHANGE_SIGNATURE({io.seata.rm.datasource.mock.MockDriver new(Object[][]  Object[][]  Object[][])}  {io.seata.rm.datasource.mock.MockDriver new(List  Object[][]  Object[][]  Object[][])}),
58a6c36bc3801d0d186a38faa2c28192ead3fb82,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(Object[][]) at rm-datasource/src/test/java/io/seata/rm/datasource/mock/MockExecuteHandlerImpl.java:34}	{Method new(List  Object[][]) at rm-datasource/src/test/java/io/seata/rm/datasource/mock/MockExecuteHandlerImpl.java:40}) CHANGE_SIGNATURE({io.seata.rm.datasource.mock.MockExecuteHandlerImpl new(Object[][])}  {io.seata.rm.datasource.mock.MockExecuteHandlerImpl new(List  Object[][])}),
19d223685721bb41c7f909055a126b73a3ca0a53,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method init() at server/src/test/java/io/seata/server/session/GlobalSessionTest.java:52}	{Method init(ApplicationContext) at server/src/test/java/io/seata/server/session/GlobalSessionTest.java:47}) CHANGE_SIGNATURE({io.seata.server.session.GlobalSessionTest init()}  {io.seata.server.session.GlobalSessionTest init(ApplicationContext)}),
19d223685721bb41c7f909055a126b73a3ca0a53,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method init() at server/src/test/java/io/seata/server/store/file/FileTransactionStoreManagerTest.java:45}	{Method init(ApplicationContext) at server/src/test/java/io/seata/server/store/file/FileTransactionStoreManagerTest.java:46}) CHANGE_SIGNATURE({io.seata.server.store.file.FileTransactionStoreManagerTest init()}  {io.seata.server.store.file.FileTransactionStoreManagerTest init(ApplicationContext)}),
53d65bf3aead904004f180a801c5abfa2e066a5a,MOVE, MOVE	{Method deleteDataFile() at server/src/test/java/io/seata/server/coordinator/DefaultCoordinatorTest.java:243}	{Method deleteDataFile() at server/src/test/java/io/seata/server/util/StoreUtil.java:32}) MOVE({io.seata.server.coordinator.DefaultCoordinatorTest deleteDataFile()}  {io.seata.server.util.StoreUtil deleteDataFile()}),
002f5b2f4ced8630635ce200ddce11665e0e6558,EXTRACT, EXTRACT	{Method isNotExpired() at core/src/main/java/io/seata/core/raft/RaftMetadata.java:57}	{Method isExpired() at common/src/main/java/io/seata/common/metadata/Metadata.java:52}) EXTRACT({io.seata.core.raft.RaftMetadata isNotExpired()}  {io.seata.common.metadata.Metadata isExpired()}),
002f5b2f4ced8630635ce200ddce11665e0e6558,MOVE, MOVE	{Method setAddress(String) at core/src/main/java/io/seata/core/protocol/LeaderNotifyRequest.java:44}	{Method setAddress(String) at common/src/main/java/io/seata/common/metadata/Node.java:32}) MOVE({io.seata.core.protocol.LeaderNotifyRequest setAddress(String)}  {io.seata.common.metadata.Node setAddress(String)}),
002f5b2f4ced8630635ce200ddce11665e0e6558,MOVE_RENAME, MOVE_RENAME	{Method getCluster(ClusterMetaDataResponse  String) at server/src/main/java/io/seata/server/AbstractTCInboundHandler.java:355}	{Method cluster(String) at server/src/main/java/io/seata/server/controller/ClusterController.java:53}) MOVE_RENAME({io.seata.server.AbstractTCInboundHandler getCluster(ClusterMetaDataResponse  String)}  {io.seata.server.controller.ClusterController cluster(String)}),
002f5b2f4ced8630635ce200ddce11665e0e6558,MOVE, MOVE	{Method setMode(String) at core/src/main/java/io/seata/core/protocol/client/ClusterMetaDataResponse.java:48}	{Method setMode(String) at common/src/main/java/io/seata/common/metadata/MetadataResponse.java:23}) MOVE({io.seata.core.protocol.client.ClusterMetaDataResponse setMode(String)}  {io.seata.common.metadata.MetadataResponse setMode(String)}),
002f5b2f4ced8630635ce200ddce11665e0e6558,MOVE_RENAME, MOVE_RENAME	{Class RaftMetadata at core/src/main/java/io/seata/core/raft/RaftMetadata.java:23}	{Class Metadata at common/src/main/java/io/seata/common/metadata/Metadata.java:29}) MOVE_RENAME({io.seata.core.raft.RaftMetadata}  {io.seata.common.metadata.Metadata}),
002f5b2f4ced8630635ce200ddce11665e0e6558,MOVE_RENAME, MOVE_RENAME	{Method initClusterMetaData() at core/src/main/java/io/seata/core/rpc/netty/AbstractNettyRemotingClient.java:553}	{Method startQueryMetadata() at discovery/seata-discovery-core/src/main/java/io/seata/discovery/registry/SeataRegistryServiceImpl.java:165}) MOVE_RENAME({io.seata.core.rpc.netty.AbstractNettyRemotingClient initClusterMetaData()}  {io.seata.discovery.registry.SeataRegistryServiceImpl startQueryMetadata()}),
002f5b2f4ced8630635ce200ddce11665e0e6558,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method isExpired() at core/src/main/java/io/seata/core/raft/RaftMetadata.java:53}	{Method isExpired(String) at common/src/main/java/io/seata/common/metadata/Metadata.java:56}) CHANGE_SIGNATURE({io.seata.core.raft.RaftMetadata isExpired()}  {io.seata.common.metadata.Metadata isExpired(String)}),
41ad489bbca8603b8cbf0550c519e8f906fe927b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method removeConfigListener(String  ConfigChangeListener) at config/seata-config-custom/src/test/java/io/seata/config/CustomConfigurationForTest.java:65}	{Method removeConfigListener(String  ConfigurationChangeListener) at config/seata-config-custom/src/test/java/io/seata/config/CustomConfigurationForTest.java:65}) CHANGE_SIGNATURE({io.seata.config.CustomConfigurationForTest removeConfigListener(String  ConfigChangeListener)}  {io.seata.config.CustomConfigurationForTest removeConfigListener(String  ConfigurationChangeListener)}),
41ad489bbca8603b8cbf0550c519e8f906fe927b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addConfigListener(String  ConfigChangeListener) at config/seata-config-apollo/src/main/java/io/seata/config/apollo/ApolloConfiguration.java:136}	{Method addConfigListener(String  ConfigurationChangeListener) at config/seata-config-apollo/src/main/java/io/seata/config/apollo/ApolloConfiguration.java:140}) CHANGE_SIGNATURE({io.seata.config.apollo.ApolloConfiguration addConfigListener(String  ConfigChangeListener)}  {io.seata.config.apollo.ApolloConfiguration addConfigListener(String  ConfigurationChangeListener)}),
41ad489bbca8603b8cbf0550c519e8f906fe927b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addConfigListener(String  IZkDataListener) at config/seata-config-zk/src/main/java/io/seata/config/zk/ZookeeperConfiguration.java:156}	{Method addConfigListener(String  ConfigurationChangeListener) at config/seata-config-zk/src/main/java/io/seata/config/zk/ZookeeperConfiguration.java:169}) CHANGE_SIGNATURE({io.seata.config.zk.ZookeeperConfiguration addConfigListener(String  IZkDataListener)}  {io.seata.config.zk.ZookeeperConfiguration addConfigListener(String  ConfigurationChangeListener)}),
41ad489bbca8603b8cbf0550c519e8f906fe927b,RENAME, RENAME	{Class ConfigChangeNotifier at config/seata-config-etcd3/src/main/java/io/seata/config/etcd3/EtcdConfiguration.java:250}	{Class EtcdListener at config/seata-config-etcd3/src/main/java/io/seata/config/etcd3/EtcdConfiguration.java:238}) RENAME({io.seata.config.etcd3.EtcdConfiguration ConfigChangeNotifier}  {io.seata.config.etcd3.EtcdConfiguration EtcdListener}),
41ad489bbca8603b8cbf0550c519e8f906fe927b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addConfigListener(String  ConfigChangeListener) at config/seata-config-spring-cloud/src/main/java/io/seata/config/springcloud/SpringCloudConfiguration.java:74}	{Method addConfigListener(String  ConfigurationChangeListener) at config/seata-config-spring-cloud/src/main/java/io/seata/config/springcloud/SpringCloudConfiguration.java:74}) CHANGE_SIGNATURE({io.seata.config.springcloud.SpringCloudConfiguration addConfigListener(String  ConfigChangeListener)}  {io.seata.config.springcloud.SpringCloudConfiguration addConfigListener(String  ConfigurationChangeListener)}),
