Hash,Refatoração,Descrição
b42deb823b5b50091f733537e2e8718e4a4e4ee7,EXTRACT, EXTRACT	{Method sha256(String) at sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java:113}	{Method getShaHexString(String  MessageDigest) at sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java:150}) EXTRACT({cn.dev33.satoken.secure.SaSecureUtil sha256(String)}  {cn.dev33.satoken.secure.SaSecureUtil getShaHexString(String  MessageDigest)}),
cf6632df7946625e08c6f2cf16792fdad260bf54,EXTRACT, EXTRACT	{Method hasPermission(Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1063}	{Method getPermissionList(Object) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1085}) EXTRACT({cn.dev33.satoken.stp.StpLogic hasPermission(Object  String)}  {cn.dev33.satoken.stp.StpLogic getPermissionList(Object)}),
cf6632df7946625e08c6f2cf16792fdad260bf54,EXTRACT, EXTRACT	{Method checkPermissionOr(String[]) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1135}	{Method hasElement(List  String) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1599}) EXTRACT({cn.dev33.satoken.stp.StpLogic checkPermissionOr(String[])}  {cn.dev33.satoken.stp.StpLogic hasElement(List  String)}),
cf6632df7946625e08c6f2cf16792fdad260bf54,EXTRACT, EXTRACT	{Method checkRoleAnd(String[]) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1018}	{Method hasElement(List  String) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1599}) EXTRACT({cn.dev33.satoken.stp.StpLogic checkRoleAnd(String[])}  {cn.dev33.satoken.stp.StpLogic hasElement(List  String)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doUntieDisable(String  Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:71}	{Method doUntieDisable(String  Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:58}) INLINE({cn.dev33.satoken.log.input.SaLogInput doUntieDisable(String  Object  String)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doUntieDisable(String  Object  String)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doOpenSafe(String  String  String  long) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:81}	{Method doOpenSafe(String  String  String  long) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:66}) INLINE({cn.dev33.satoken.log.input.SaLogInput doOpenSafe(String  String  String  long)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doOpenSafe(String  String  String  long)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doKickout(String  Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:39}	{Method doKickout(String  Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:34}) INLINE({cn.dev33.satoken.log.input.SaLogInput doKickout(String  Object  String)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doKickout(String  Object  String)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doLogin(String  Object  String  SaLoginModel) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:18}	{Method doLogin(String  Object  String  SaLoginModel) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:18}) INLINE({cn.dev33.satoken.log.input.SaLogInput doLogin(String  Object  String  SaLoginModel)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doLogin(String  Object  String  SaLoginModel)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doLogout(String  Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:29}	{Method doLogout(String  Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:26}) INLINE({cn.dev33.satoken.log.input.SaLogInput doLogout(String  Object  String)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doLogout(String  Object  String)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doCloseSafe(String  String  String) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:92}	{Method doCloseSafe(String  String  String) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:74}) INLINE({cn.dev33.satoken.log.input.SaLogInput doCloseSafe(String  String  String)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doCloseSafe(String  String  String)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doLogoutSession(String) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:110}	{Method doLogoutSession(String) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:90}) INLINE({cn.dev33.satoken.log.input.SaLogInput doLogoutSession(String)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doLogoutSession(String)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doReplaced(String  Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:49}	{Method doReplaced(String  Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:42}) INLINE({cn.dev33.satoken.log.input.SaLogInput doReplaced(String  Object  String)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doReplaced(String  Object  String)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doRenewTimeout(String  Object  long) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:118}	{Method doRenewTimeout(String  Object  long) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:98}) INLINE({cn.dev33.satoken.log.input.SaLogInput doRenewTimeout(String  Object  long)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doRenewTimeout(String  Object  long)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doDisable(String  Object  String  int  long) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:59}	{Method doDisable(String  Object  String  int  long) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:50}) INLINE({cn.dev33.satoken.log.input.SaLogInput doDisable(String  Object  String  int  long)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doDisable(String  Object  String  int  long)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,INLINE, INLINE	{Method doCreateSession(String) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:102}	{Method doCreateSession(String) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:82}) INLINE({cn.dev33.satoken.log.input.SaLogInput doCreateSession(String)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doCreateSession(String)}),
6dc9be8cd70cfa59d066467db8d6e0fb029d598e,MOVE_RENAME, MOVE_RENAME	{Method registerComponent(String  Object) at sa-token-core/src/main/java/cn/dev33/satoken/log/input/SaLogInput.java:130}	{Method doRegisterComponent(String  Object) at sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenListenerForLog.java:107}) MOVE_RENAME({cn.dev33.satoken.log.input.SaLogInput registerComponent(String  Object)}  {cn.dev33.satoken.listener.SaTokenListenerForLog doRegisterComponent(String  Object)}),
b4cec9d854277750766fc15419d2b749d64893a9,RENAME, RENAME	{Method login(String  String) at sa-token-demo/sa-token-demo-quick-login/src/main/java/com/pj/test/TestController.java:17}	{Method index() at sa-token-demo/sa-token-demo-quick-login/src/main/java/com/pj/test/TestController.java:17}) RENAME({com.pj.test.TestController login(String  String)}  {com.pj.test.TestController index()}),
15027bbe095234aa23f9dd867cb1ac618b275adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setCreateSession(Function) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:363}	{Method setCreateSession(SaCreateSessionFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:348}) CHANGE_SIGNATURE({cn.dev33.satoken.strategy.SaStrategy setCreateSession(Function)}  {cn.dev33.satoken.strategy.SaStrategy setCreateSession(SaCreateSessionFunction)}),
15027bbe095234aa23f9dd867cb1ac618b275adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setIsAnnotationPresent(BiFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:430}	{Method setIsAnnotationPresent(SaIsAnnotationPresentFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:415}) CHANGE_SIGNATURE({cn.dev33.satoken.strategy.SaStrategy setIsAnnotationPresent(BiFunction)}  {cn.dev33.satoken.strategy.SaStrategy setIsAnnotationPresent(SaIsAnnotationPresentFunction)}),
15027bbe095234aa23f9dd867cb1ac618b275adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setCheckMethodAnnotation(Consumer) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:385}	{Method setCheckMethodAnnotation(SaCheckMethodAnnotationFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:370}) CHANGE_SIGNATURE({cn.dev33.satoken.strategy.SaStrategy setCheckMethodAnnotation(Consumer)}  {cn.dev33.satoken.strategy.SaStrategy setCheckMethodAnnotation(SaCheckMethodAnnotationFunction)}),
15027bbe095234aa23f9dd867cb1ac618b275adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setGetAnnotation(BiFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:419}	{Method setGetAnnotation(SaGetAnnotationFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:404}) CHANGE_SIGNATURE({cn.dev33.satoken.strategy.SaStrategy setGetAnnotation(BiFunction)}  {cn.dev33.satoken.strategy.SaStrategy setGetAnnotation(SaGetAnnotationFunction)}),
15027bbe095234aa23f9dd867cb1ac618b275adb,MOVE, MOVE	{Interface SaGenerateUniqueTokenFunction at sa-token-core/src/main/java/cn/dev33/satoken/fun/SaGenerateUniqueTokenFunction.java:21}	{Interface SaGenerateUniqueTokenFunction at sa-token-core/src/main/java/cn/dev33/satoken/fun/strategy/SaGenerateUniqueTokenFunction.java:21}) MOVE({cn.dev33.satoken.fun.SaGenerateUniqueTokenFunction}  {cn.dev33.satoken.fun.strategy.SaGenerateUniqueTokenFunction}),
15027bbe095234aa23f9dd867cb1ac618b275adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setCheckElementAnnotation(Consumer) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:396}	{Method setCheckElementAnnotation(SaCheckElementAnnotationFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:381}) CHANGE_SIGNATURE({cn.dev33.satoken.strategy.SaStrategy setCheckElementAnnotation(Consumer)}  {cn.dev33.satoken.strategy.SaStrategy setCheckElementAnnotation(SaCheckElementAnnotationFunction)}),
15027bbe095234aa23f9dd867cb1ac618b275adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setCreateToken(BiFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:352}	{Method setCreateToken(SaCreateTokenFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:337}) CHANGE_SIGNATURE({cn.dev33.satoken.strategy.SaStrategy setCreateToken(BiFunction)}  {cn.dev33.satoken.strategy.SaStrategy setCreateToken(SaCreateTokenFunction)}),
15027bbe095234aa23f9dd867cb1ac618b275adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setCreateStpLogic(Function) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:453}	{Method setCreateStpLogic(SaCreateStpLogicFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:437}) CHANGE_SIGNATURE({cn.dev33.satoken.strategy.SaStrategy setCreateStpLogic(Function)}  {cn.dev33.satoken.strategy.SaStrategy setCreateStpLogic(SaCreateStpLogicFunction)}),
15027bbe095234aa23f9dd867cb1ac618b275adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setHasElement(BiFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:374}	{Method setHasElement(SaHasElementFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:359}) CHANGE_SIGNATURE({cn.dev33.satoken.strategy.SaStrategy setHasElement(BiFunction)}  {cn.dev33.satoken.strategy.SaStrategy setHasElement(SaHasElementFunction)}),
15027bbe095234aa23f9dd867cb1ac618b275adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setCheckOrAnnotation(Consumer) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:407}	{Method setCheckOrAnnotation(SaCheckOrAnnotationFunction) at sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java:392}) CHANGE_SIGNATURE({cn.dev33.satoken.strategy.SaStrategy setCheckOrAnnotation(Consumer)}  {cn.dev33.satoken.strategy.SaStrategy setCheckOrAnnotation(SaCheckOrAnnotationFunction)}),
d491f4083f86b23109227e5205824c9cdbf7c1a6,MOVE, MOVE	{Method getSsoAuthUrl(String) at sa-token-demo/sa-token-demo-sso2-client/src/main/java/com/pj/h5/H5Controller.java:27}	{Method getSsoAuthUrl(String) at sa-token-demo/sa-token-demo-sso2-client/src/main/java/com/pj/h5/H5Controller.java:28}) MOVE({com.pj.h5.H5Controller getSsoAuthUrl(String)}  {com.pj.h5.H5Controller getSsoAuthUrl(String)}),
d491f4083f86b23109227e5205824c9cdbf7c1a6,MOVE, MOVE	{Method isLogin() at sa-token-demo/sa-token-demo-sso2-client/src/main/java/com/pj/h5/H5Controller.java:21}	{Method isLogin() at sa-token-demo/sa-token-demo-sso2-client/src/main/java/com/pj/h5/H5Controller.java:22}) MOVE({com.pj.h5.H5Controller isLogin()}  {com.pj.h5.H5Controller isLogin()}),
d491f4083f86b23109227e5205824c9cdbf7c1a6,EXTRACT, EXTRACT	{Method ssoLogin() at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoHandle.java:180}	{Method checkTicket(String  String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoHandle.java:343}) EXTRACT({cn.dev33.satoken.sso.SaSsoHandle ssoLogin()}  {cn.dev33.satoken.sso.SaSsoHandle checkTicket(String  String)}),
d491f4083f86b23109227e5205824c9cdbf7c1a6,MOVE, MOVE	{Method ssoRequest() at sa-token-demo/sa-token-demo-sso2-server/src/main/java/com/pj/sso/SsoServerController.java:29}	{Method ssoRequest() at sa-token-demo/sa-token-demo-sso-server/src/main/java/com/pj/sso/SsoServerController.java:30}) MOVE({com.pj.sso.SsoServerController ssoRequest()}  {com.pj.sso.SsoServerController ssoRequest()}),
d491f4083f86b23109227e5205824c9cdbf7c1a6,MOVE, MOVE	{Method handlerException(Exception) at sa-token-demo/sa-token-demo-sso1-server/src/main/java/com/pj/sso/SsoServerController.java:56}	{Method handlerException(Exception) at sa-token-demo/sa-token-demo-sso-server/src/main/java/com/pj/sso/GlobalExceptionHandler.java:17}) MOVE({com.pj.sso.SsoServerController handlerException(Exception)}  {com.pj.sso.GlobalExceptionHandler handlerException(Exception)}),
d491f4083f86b23109227e5205824c9cdbf7c1a6,MOVE, MOVE	{Method configSso(SaTokenConfig) at sa-token-demo/sa-token-demo-sso3-server/src/main/java/com/pj/sso/SsoServerController.java:54}	{Method configSso(SaTokenConfig) at sa-token-demo/sa-token-demo-sso-server/src/main/java/com/pj/sso/SsoServerController.java:36}) MOVE({com.pj.sso.SsoServerController configSso(SaTokenConfig)}  {com.pj.sso.SsoServerController configSso(SaTokenConfig)}),
d491f4083f86b23109227e5205824c9cdbf7c1a6,MOVE, MOVE	{Method doLoginByTicket(String) at sa-token-demo/sa-token-demo-sso2-client/src/main/java/com/pj/h5/H5Controller.java:34}	{Method doLoginByTicket(String) at sa-token-demo/sa-token-demo-sso2-client/src/main/java/com/pj/h5/H5Controller.java:35}) MOVE({com.pj.h5.H5Controller doLoginByTicket(String)}  {com.pj.h5.H5Controller doLoginByTicket(String)}),
d491f4083f86b23109227e5205824c9cdbf7c1a6,MOVE, MOVE	{Method getRedirectUrl(String) at sa-token-demo/sa-token-demo-sso2-server/src/main/java/com/pj/h5/H5Controller.java:20}	{Method getRedirectUrl(String  String) at sa-token-demo/sa-token-demo-sso-server/src/main/java/com/pj/h5/H5Controller.java:22}) MOVE({com.pj.h5.H5Controller getRedirectUrl(String)}  {com.pj.h5.H5Controller getRedirectUrl(String  String)}),
432bfe36bf1f8190c48f13b7956eaaee4cab645b,EXTRACT, EXTRACT	{Method checkSafe() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:2012}	{Method checkSafe(String) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:2064}) EXTRACT({cn.dev33.satoken.stp.StpLogic checkSafe()}  {cn.dev33.satoken.stp.StpLogic checkSafe(String)}),
7acf5e9790b22841e1404ca13a9bf2023c274462,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addCookie(String  String  String  String  int) at sa-token-starter/sa-token-reactor-spring-boot-starter/src/main/java/cn/dev33/satoken/reactor/model/SaResponseForReactor.java:49}	{Method addCookie(String  String  String  String  int  boolean  boolean) at sa-token-starter/sa-token-reactor-spring-boot-starter/src/main/java/cn/dev33/satoken/reactor/model/SaResponseForReactor.java:49}) CHANGE_SIGNATURE({cn.dev33.satoken.reactor.model.SaResponseForReactor addCookie(String  String  String  String  int)}  {cn.dev33.satoken.reactor.model.SaResponseForReactor addCookie(String  String  String  String  int  boolean  boolean)}),
7acf5e9790b22841e1404ca13a9bf2023c274462,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addCookie(String  String  String  String  int) at sa-token-core/src/main/java/cn/dev33/satoken/context/model/SaResponse.java:22}	{Method addCookie(String  String  String  String  int  boolean  boolean) at sa-token-core/src/main/java/cn/dev33/satoken/context/model/SaResponse.java:22}) CHANGE_SIGNATURE({cn.dev33.satoken.context.model.SaResponse addCookie(String  String  String  String  int)}  {cn.dev33.satoken.context.model.SaResponse addCookie(String  String  String  String  int  boolean  boolean)}),
7acf5e9790b22841e1404ca13a9bf2023c274462,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addCookie(String  String  String  String  int) at sa-token-starter/sa-token-servlet/src/main/java/cn/dev33/satoken/servlet/model/SaResponseForServlet.java:48}	{Method addCookie(String  String  String  String  int  boolean  boolean) at sa-token-starter/sa-token-servlet/src/main/java/cn/dev33/satoken/servlet/model/SaResponseForServlet.java:48}) CHANGE_SIGNATURE({cn.dev33.satoken.servlet.model.SaResponseForServlet addCookie(String  String  String  String  int)}  {cn.dev33.satoken.servlet.model.SaResponseForServlet addCookie(String  String  String  String  int  boolean  boolean)}),
7acf5e9790b22841e1404ca13a9bf2023c274462,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addCookie(String  String  String  String  int) at sa-token-starter/sa-token-solon-plugin/src/main/java/cn/dev33/satoken/solon/model/SaResponseForSolon.java:30}	{Method addCookie(String  String  String  String  int  boolean  boolean) at sa-token-starter/sa-token-solon-plugin/src/main/java/cn/dev33/satoken/solon/model/SaResponseForSolon.java:30}) CHANGE_SIGNATURE({cn.dev33.satoken.solon.model.SaResponseForSolon addCookie(String  String  String  String  int)}  {cn.dev33.satoken.solon.model.SaResponseForSolon addCookie(String  String  String  String  int  boolean  boolean)}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method isDisable(Object) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1403}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic isDisable(Object)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method searchSessionId(String  int  int) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1305}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic searchSessionId(String  int  int)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method updateLastActivityToNow(String) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:860}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic updateLastActivityToNow(String)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method setLastActivityToNow(String) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:794}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic setLastActivityToNow(String)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method getSessionTimeoutByLoginId(Object) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:909}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic getSessionTimeoutByLoginId(Object)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method getLoginIdNotHandle(String) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:620}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic getLoginIdNotHandle(String)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method newInstance(String  String) at sa-token-core/src/main/java/cn/dev33/satoken/exception/NotLoginException.java:95}	{Method newInstance(String  String  String) at sa-token-core/src/main/java/cn/dev33/satoken/exception/NotLoginException.java:107}) EXTRACT({cn.dev33.satoken.exception.NotLoginException newInstance(String  String)}  {cn.dev33.satoken.exception.NotLoginException newInstance(String  String  String)}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method untieDisable(Object) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1421}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic untieDisable(Object)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method disable(Object  long) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1389}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic disable(Object  long)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method getDisableTime(Object) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1412}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic getDisableTime(Object)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method getTokenSessionTimeoutByTokenValue(String) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:926}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic getTokenSessionTimeoutByTokenValue(String)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method getTokenTimeoutByLoginId(Object) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:892}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic getTokenTimeoutByLoginId(Object)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method deleteTokenToIdMapping(String) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:638}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic deleteTokenToIdMapping(String)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method saveTokenToIdMapping(String  Object  long) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:654}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic saveTokenToIdMapping(String  Object  long)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method clearLastActivity(String) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:807}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic clearLastActivity(String)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method updateTokenToIdMapping(String  Object) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:645}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic updateTokenToIdMapping(String  Object)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method getTokenTimeout() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:884}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic getTokenTimeout()}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
6d26761fd55c656299ec2ca99f709305513273ed,EXTRACT, EXTRACT	{Method getSessionBySessionId(String  boolean) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:668}	{Method getSaTokenDao() at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:1618}) EXTRACT({cn.dev33.satoken.stp.StpLogic getSessionBySessionId(String  boolean)}  {cn.dev33.satoken.stp.StpLogic getSaTokenDao()}),
