Hash,Refatoração,Descrição
b42deb823b5b50091f733537e2e8718e4a4e4ee7,EXTRACT, EXTRACT	{Method sha256(String) at sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java:113}	{Method getShaHexString(String  MessageDigest) at sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java:150}) EXTRACT({cn.dev33.satoken.secure.SaSecureUtil sha256(String)}  {cn.dev33.satoken.secure.SaSecureUtil getShaHexString(String  MessageDigest)}),
385cf3b2e4f8bda76de335f7174d96978e4d2f5c,RENAME, RENAME	{Method testJoinParams() at sa-token-test/sa-token-springboot-test/src/test/java/cn/dev33/satoken/core/sign/SaSignTemplateTest.java:20}	{Method testJoinParamsDictSort() at sa-token-test/sa-token-springboot-test/src/test/java/cn/dev33/satoken/core/sign/SaSignTemplateTest.java:20}) RENAME({cn.dev33.satoken.core.sign.SaSignTemplateTest testJoinParams()}  {cn.dev33.satoken.core.sign.SaSignTemplateTest testJoinParamsDictSort()}),
385cf3b2e4f8bda76de335f7174d96978e4d2f5c,EXTRACT, EXTRACT	{Method parseToken(String) at sa-token-core/src/main/java/cn/dev33/satoken/temp/SaTempInterface.java:33}	{Method parseToken(String  String) at sa-token-core/src/main/java/cn/dev33/satoken/temp/SaTempInterface.java:54}) EXTRACT({cn.dev33.satoken.temp.SaTempInterface parseToken(String)}  {cn.dev33.satoken.temp.SaTempInterface parseToken(String  String)}),
385cf3b2e4f8bda76de335f7174d96978e4d2f5c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method createToken(Object  long) at sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaTempForJwt.java:17}	{Method createToken(String  Object  long) at sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaTempForJwt.java:17}) CHANGE_SIGNATURE({cn.dev33.satoken.temp.jwt.SaTempForJwt createToken(Object  long)}  {cn.dev33.satoken.temp.jwt.SaTempForJwt createToken(String  Object  long)}),
385cf3b2e4f8bda76de335f7174d96978e4d2f5c,EXTRACT, EXTRACT	{Method deleteToken(String) at sa-token-core/src/main/java/cn/dev33/satoken/temp/SaTempInterface.java:65}	{Method deleteToken(String  String) at sa-token-core/src/main/java/cn/dev33/satoken/temp/SaTempInterface.java:118}) EXTRACT({cn.dev33.satoken.temp.SaTempInterface deleteToken(String)}  {cn.dev33.satoken.temp.SaTempInterface deleteToken(String  String)}),
385cf3b2e4f8bda76de335f7174d96978e4d2f5c,EXTRACT, EXTRACT	{Method getTimeout(String) at sa-token-core/src/main/java/cn/dev33/satoken/temp/SaTempInterface.java:54}	{Method getTimeout(String  String) at sa-token-core/src/main/java/cn/dev33/satoken/temp/SaTempInterface.java:98}) EXTRACT({cn.dev33.satoken.temp.SaTempInterface getTimeout(String)}  {cn.dev33.satoken.temp.SaTempInterface getTimeout(String  String)}),
385cf3b2e4f8bda76de335f7174d96978e4d2f5c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getTimeout(String  String) at sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaJwtUtil.java:89}	{Method getTimeout(String  String  String) at sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaJwtUtil.java:91}) CHANGE_SIGNATURE({cn.dev33.satoken.temp.jwt.SaJwtUtil getTimeout(String  String)}  {cn.dev33.satoken.temp.jwt.SaJwtUtil getTimeout(String  String  String)}),
385cf3b2e4f8bda76de335f7174d96978e4d2f5c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getTimeout(String) at sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaTempForJwt.java:35}	{Method getTimeout(String  String) at sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaTempForJwt.java:35}) CHANGE_SIGNATURE({cn.dev33.satoken.temp.jwt.SaTempForJwt getTimeout(String)}  {cn.dev33.satoken.temp.jwt.SaTempForJwt getTimeout(String  String)}),
385cf3b2e4f8bda76de335f7174d96978e4d2f5c,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method createToken(Object  long  String) at sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaJwtUtil.java:31}	{Method createToken(String  Object  long  String) at sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaJwtUtil.java:31}) CHANGE_SIGNATURE({cn.dev33.satoken.temp.jwt.SaJwtUtil createToken(Object  long  String)}  {cn.dev33.satoken.temp.jwt.SaJwtUtil createToken(String  Object  long  String)}),
de39d91b71b437f2d250b89d0cbe4410792a5b3a,MOVE, MOVE	{Method request(String) at sa-token-plugin/sa-token-sso/src/main/java/cn/dev33/satoken/sso/SaSsoHandle.java:400}	{Method request(String) at sa-token-plugin/sa-token-sso/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:391}) MOVE({cn.dev33.satoken.sso.SaSsoHandle request(String)}  {cn.dev33.satoken.sso.SaSsoTemplate request(String)}),
de39d91b71b437f2d250b89d0cbe4410792a5b3a,EXTRACT_MOVE, EXTRACT_MOVE	{Method ssoLogoutType3() at sa-token-plugin/sa-token-sso/src/main/java/cn/dev33/satoken/sso/SaSsoHandle.java:290}	{Method request(String) at sa-token-plugin/sa-token-sso/src/main/java/cn/dev33/satoken/sso/SaSsoUtil.java:175}) EXTRACT_MOVE({cn.dev33.satoken.sso.SaSsoHandle ssoLogoutType3()}  {cn.dev33.satoken.sso.SaSsoUtil request(String)}),
